log2FoldChange,pvalue,gene_id,symbol
-0.031777363,0.891781902,ENSG00000000003,TSPAN6
0.601126781,0.001575198,ENSG00000000419,DPM1
0.415849524,0.082989954,ENSG00000000457,SCYL3
-0.071463259,0.724455583,ENSG00000000460,C1orf112
-0.852440578,9.28E-06,ENSG00000000971,CFH
-0.066042208,0.616837754,ENSG00000001036,FUCA2
0.935413853,3.64E-13,ENSG00000001084,GCLC
-0.066224492,0.667750854,ENSG00000001167,NFYA
0.238195528,0.156252848,ENSG00000001460,STPG1
0.0459453,0.697123934,ENSG00000001461,NIPAL3
0.103004267,0.491416733,ENSG00000001497,LAS1L
0.067245074,0.792213073,ENSG00000001617,SEMA3F
-0.326965338,0.019252414,ENSG00000001629,ANKIB1
0.348229906,0.249620655,ENSG00000001630,CYP51A1
-0.206445525,0.194556572,ENSG00000001631,KRIT1
0.434721664,0.065859226,ENSG00000002016,RAD52
0.07723303,0.681979303,ENSG00000002330,BAD
-0.025055576,0.854814311,ENSG00000002549,LAP3
0.440592187,0.000283239,ENSG00000002586,CD99
1.348557465,0.011220462,ENSG00000002587,HS3ST1
-0.209618909,0.410186633,ENSG00000002746,HECW1
0.022976708,0.87685892,ENSG00000002822,MAD1L1
-0.357517362,0.000729891,ENSG00000002834,LASP1
0.242221392,0.217438932,ENSG00000002919,SNX11
0.118707086,0.355577081,ENSG00000003056,M6PR
-0.560607302,0.017826003,ENSG00000003249,DBNDD1
-0.012715717,0.918057203,ENSG00000003393,ALS2
0.039597916,0.738894948,ENSG00000003402,CFLAR
-0.656632103,0.000208037,ENSG00000003436,TFPI
0.215294151,0.352102348,ENSG00000003509,NDUFAF7
0.152291753,0.260868608,ENSG00000003756,RBM5
-0.854045272,0.069207976,ENSG00000003987,MTMR7
-0.434803703,0.004667402,ENSG00000003989,SLC7A2
0.017561712,0.901931843,ENSG00000004059,ARF5
0.052579905,0.849366861,ENSG00000004139,SARM1
-0.101138262,0.394696162,ENSG00000004142,POLDIP2
-0.301015995,0.005377507,ENSG00000004399,PLXND1
0.12336157,0.290488381,ENSG00000004455,AK2
-0.249161716,0.048064941,ENSG00000004478,FKBP4
-0.05803724,0.625555186,ENSG00000004487,KDM1A
-0.006634145,0.961483608,ENSG00000004534,RBM6
-0.220039638,0.318955202,ENSG00000004660,CAMKK1
-0.563453978,0.002379118,ENSG00000004700,RECQL
-0.751053066,0.000195062,ENSG00000004766,VPS50
0.80927776,0.002433905,ENSG00000004776,HSPB6
0.183357324,0.359354485,ENSG00000004777,ARHGAP33
-0.06302208,0.707947844,ENSG00000004779,NDUFAB1
-0.231779959,0.234735706,ENSG00000004864,SLC25A13
0.345660904,0.053623727,ENSG00000004866,ST7
-0.009337742,0.938807929,ENSG00000004897,CDC27
0.421488523,0.002503027,ENSG00000004961,HCCS
0.318192512,0.023312764,ENSG00000004975,DVL2
0.002137043,0.983606332,ENSG00000005007,UPF1
-0.018457614,0.907059351,ENSG00000005020,SKAP2
-0.102357491,0.415942645,ENSG00000005022,SLC25A5
0.014290073,0.934214077,ENSG00000005059,MCUB
0.979449446,1.58E-10,ENSG00000005073,HOXA11
0.399579505,0.005930543,ENSG00000005075,POLR2J
-0.009333652,0.946957065,ENSG00000005100,DHX33
-0.049304879,0.772228099,ENSG00000005156,LIG3
-0.497782439,0.01511596,ENSG00000005175,RPAP3
0.176247639,0.495633563,ENSG00000005189,REXO5
-0.048313086,0.73976418,ENSG00000005194,CIAPIN1
-0.233930858,0.137929114,ENSG00000005206,SPPL2B
0.291797721,0.014544783,ENSG00000005238,FAM214B
0.788982978,1.35E-05,ENSG00000005243,COPZ2
-0.339723169,0.071973235,ENSG00000005249,PRKAR2B
0.297401917,0.082901262,ENSG00000005302,MSL3
0.340805258,0.006279797,ENSG00000005339,CREBBP
-0.34100527,0.091940406,ENSG00000005436,GCFC2
-0.176019885,0.413673341,ENSG00000005448,WDR54
-0.152535054,0.507953833,ENSG00000005469,CROT
-0.180014715,0.246412676,ENSG00000005483,KMT2E
0.198235232,0.158846867,ENSG00000005486,RHBDD2
0.233138556,0.178021321,ENSG00000005700,IBTK
-0.269090938,0.206137128,ENSG00000005801,ZNF195
-0.656314597,6.92E-07,ENSG00000005810,MYCBP2
0.468070804,0.001227289,ENSG00000005812,FBXL3
0.085091816,0.72090454,ENSG00000005882,PDK2
-0.218090967,0.045473257,ENSG00000005884,ITGA3
-0.152281837,0.31073833,ENSG00000005889,ZFX
-0.171390871,0.133486086,ENSG00000005893,LAMP2
-0.150138597,0.270215784,ENSG00000006007,GDE1
