group_id	items_in_group	lo_value	p	FDR	goodsgrna
RPL3	10	1.5066e-13	2.5178e-07	0.000021	10
TSR2	10	2.4438e-13	2.5178e-07	0.000021	10
PSMA6	10	1.4533e-12	2.5178e-07	0.000021	10
RPS28	10	2.4870e-12	2.5178e-07	0.000021	10
POLR2J3	10	3.0741e-12	2.5178e-07	0.000021	10
RPS6	10	3.2587e-12	2.5178e-07	0.000021	10
TUBGCP2	10	1.0669e-11	2.5178e-07	0.000021	10
DNM2	9	1.7185e-11	2.5178e-07	0.000021	9
ATP6V1A	10	1.8029e-11	2.5178e-07	0.000021	10
SF3B3	10	2.3059e-11	2.5178e-07	0.000021	9
RPL7A	10	3.0322e-11	2.5178e-07	0.000021	10
RPL14	10	3.6263e-11	2.5178e-07	0.000021	8
RPS14	10	5.2173e-11	2.5178e-07	0.000021	10
RPL8	10	5.3251e-11	2.5178e-07	0.000021	9
PRPF19	9	6.3897e-11	2.5178e-07	0.000021	9
QARS	10	7.7206e-11	2.5178e-07	0.000021	10
NAA10	10	8.5601e-11	2.5178e-07	0.000021	10
RPS3A	10	8.7262e-11	2.5178e-07	0.000021	9
NHP2L1	10	9.1657e-11	2.5178e-07	0.000021	10
POLR1B	10	9.2280e-11	2.5178e-07	0.000021	10
RPL10	10	1.1401e-10	2.5178e-07	0.000021	10
TPX2	10	2.1069e-10	2.5178e-07	0.000021	10
PPP2CA	10	2.1328e-10	2.5178e-07	0.000021	10
THOC7	10	2.1700e-10	2.5178e-07	0.000021	8
RPL36	10	2.5381e-10	2.5178e-07	0.000021	10
BUB3	9	2.7752e-10	2.5178e-07	0.000021	9
RPS27A	10	3.6908e-10	2.5178e-07	0.000021	8
SMARCB1	10	4.3764e-10	2.5178e-07	0.000021	10
BUD31	10	6.5943e-10	2.5178e-07	0.000021	9
RPL32	10	7.3527e-10	2.5178e-07	0.000021	9
RPL23	10	7.7691e-10	2.5178e-07	0.000021	9
HARS	10	7.9972e-10	2.5178e-07	0.000021	10
POLR2L	10	8.6944e-10	2.5178e-07	0.000021	9
WEE1	10	9.0475e-10	2.5178e-07	0.000021	10
CLP1	10	1.0753e-09	2.5178e-07	0.000021	10
MVD	9	1.1133e-09	2.5178e-07	0.000021	9
SNRPD3	10	1.1244e-09	2.5178e-07	0.000021	9
WBSCR22	10	1.1902e-09	2.5178e-07	0.000021	10
RPLP0	10	1.2292e-09	2.5178e-07	0.000021	9
PCNA	10	1.2955e-09	2.5178e-07	0.000021	9
ATP6AP1	9	1.4052e-09	2.5178e-07	0.000021	9
PHF5A	10	1.5850e-09	2.5178e-07	0.000021	10
EIF4A3	10	1.7173e-09	2.5178e-07	0.000021	9
SUPT16H	10	1.7311e-09	2.5178e-07	0.000021	10
SF3B2	10	1.9740e-09	2.5178e-07	0.000021	9
GTF2B	10	2.0573e-09	2.5178e-07	0.000021	8
UBA1	10	2.1218e-09	2.5178e-07	0.000021	10
RPS15	10	2.3981e-09	2.5178e-07	0.000021	9
AURKA	10	2.7124e-09	2.5178e-07	0.000021	10
TTC27	10	3.0643e-09	2.5178e-07	0.000021	9
KPNB1	10	3.2755e-09	2.5178e-07	0.000021	9
UBL5	10	3.2882e-09	2.5178e-07	0.000021	9
IPO13	10	4.1414e-09	2.5178e-07	0.000021	9
SNRPE	8	4.4610e-09	2.5178e-07	0.000021	8
EIF3D	10	4.5697e-09	2.5178e-07	0.000021	9
MEF2B	9	5.1692e-09	2.5178e-07	0.000021	9
RPS15A	10	5.2567e-09	2.5178e-07	0.000021	9
DNAJC11	10	5.3559e-09	2.5178e-07	0.000021	10
NARS	10	6.0408e-09	2.5178e-07	0.000021	9
MCM3AP	10	6.1988e-09	2.5178e-07	0.000021	9
RPL18	10	6.3987e-09	2.5178e-07	0.000021	10
RPL23A	10	6.7010e-09	2.5178e-07	0.000021	10
FNTB	10	6.7010e-09	2.5178e-07	0.000021	10
ATP2A2	8	7.2681e-09	2.5178e-07	0.000021	8
RPL15	10	7.5993e-09	2.5178e-07	0.000021	9
RFC5	10	7.6073e-09	2.5178e-07	0.000021	10
SMC1A	10	7.9317e-09	2.5178e-07	0.000021	8
COPA	10	8.0400e-09	2.5178e-07	0.000021	9
RPSA	10	8.3319e-09	2.5178e-07	0.000021	9
ESPL1	10	8.4755e-09	2.5178e-07	0.000021	8
RPL17	9	8.4769e-09	2.5178e-07	0.000021	7
GINS3	10	8.4864e-09	2.5178e-07	0.000021	10
RPL9	10	8.7644e-09	2.5178e-07	0.000021	10
MCM4	10	8.7961e-09	2.5178e-07	0.000021	10
PGD	10	9.2468e-09	2.5178e-07	0.000021	10
WDR46	10	9.9432e-09	2.5178e-07	0.000021	10
NAA38	8	1.0039e-08	2.5178e-07	0.000021	7
PRMT1	10	1.0118e-08	2.5178e-07	0.000021	10
SMU1	9	1.0140e-08	2.5178e-07	0.000021	9
IARS	10	1.1995e-08	2.5178e-07	0.000021	9
VARS	9	1.2057e-08	2.5178e-07	0.000021	8
SMC2	10	1.2425e-08	2.5178e-07	0.000021	10
KARS	10	1.2679e-08	2.5178e-07	0.000021	10
ARCN1	10	1.2776e-08	2.5178e-07	0.000021	10
MRPL41	10	1.3665e-08	2.5178e-07	0.000021	9
TXNL4A	10	1.3982e-08	2.5178e-07	0.000021	10
GINS2	10	1.4377e-08	2.5178e-07	0.000021	10
NARFL	9	1.4631e-08	2.5178e-07	0.000021	9
EIF3C	10	1.4702e-08	2.5178e-07	0.000021	9
C9orf114	10	1.4768e-08	2.5178e-07	0.000021	10
ABCB7	10	1.4942e-08	2.5178e-07	0.000021	10
PSMA7	10	1.5220e-08	2.5178e-07	0.000021	9
DDX46	10	1.5530e-08	2.5178e-07	0.000021	9
CYCS	10	1.5903e-08	2.5178e-07	0.000021	10
CENPM	10	1.5996e-08	2.5178e-07	0.000021	10
GNB2L1	10	1.6661e-08	2.5178e-07	0.000021	9
ATP6V0C	10	1.7494e-08	2.5178e-07	0.000021	10
PKM	10	1.8173e-08	2.5178e-07	0.000021	10
CDC16	10	1.8758e-08	2.5178e-07	0.000021	10
RUVBL1	10	1.8992e-08	2.5178e-07	0.000021	10
CDC73	9	1.9360e-08	2.5178e-07	0.000021	9
RPS21	10	1.9434e-08	2.5178e-07	0.000021	10
RRM1	10	1.9857e-08	2.5178e-07	0.000021	9
SLC16A1	10	2.0263e-08	2.5178e-07	0.000021	8
HSPA5	9	2.0327e-08	2.5178e-07	0.000021	9
PSMD12	10	2.0642e-08	2.5178e-07	0.000021	10
MCM2	10	2.2545e-08	2.5178e-07	0.000021	9
RPS7	10	2.3059e-08	2.5178e-07	0.000021	10
PSMC3	9	2.3758e-08	2.5178e-07	0.000021	9
ATP6V0B	10	2.4126e-08	2.5178e-07	0.000021	9
POLR2J	10	2.4385e-08	2.5178e-07	0.000021	9
MRPS21	10	2.5104e-08	2.5178e-07	0.000021	8
RPTOR	10	2.5894e-08	2.5178e-07	0.000021	9
PSMB3	10	2.6220e-08	2.5178e-07	0.000021	10
SNRPD1	10	2.6484e-08	2.5178e-07	0.000021	9
PSMA2	10	2.6531e-08	2.5178e-07	0.000021	9
RAD51	9	2.7980e-08	2.5178e-07	0.000021	9
PSMC5	10	2.8772e-08	2.5178e-07	0.000021	9
GUK1	10	3.1753e-08	2.5178e-07	0.000021	9
TUBB	10	3.2708e-08	2.5178e-07	0.000021	10
PSMB4	10	3.3251e-08	2.5178e-07	0.000021	10
CCT5	10	3.3391e-08	2.5178e-07	0.000021	9
MRPL9	10	3.7515e-08	2.5178e-07	0.000021	10
CTPS1	10	3.9864e-08	2.5178e-07	0.000021	10
HSPA9	9	3.9975e-08	2.5178e-07	0.000021	9
EIF5B	10	4.6571e-08	2.5178e-07	0.000021	10
WDR61	10	4.8788e-08	2.5178e-07	0.000021	8
OGDH	9	4.9131e-08	2.5178e-07	0.000021	9
GOT1	10	4.9232e-08	2.5178e-07	0.000021	10
INCENP	10	5.1440e-08	2.5178e-07	0.000021	10
PPCDC	10	5.1643e-08	2.5178e-07	0.000021	10
SRSF2	10	5.3012e-08	2.5178e-07	0.000021	10
RPL37	10	5.4278e-08	2.5178e-07	0.000021	10
CDIPT	10	5.5405e-08	2.5178e-07	0.000021	10
HSPA8	9	5.7411e-08	2.5178e-07	0.000021	9
ATRIP	10	5.7792e-08	2.5178e-07	0.000021	10
POLR2J2	10	5.9097e-08	2.5178e-07	0.000021	9
RPS5	10	6.0695e-08	2.5178e-07	0.000021	10
