group_id	items_in_group	lo_value	p	FDR	goodsgrna
TSC2	10	2.1455e-19	2.5161e-07	0.000381	10
TSC1	10	2.8379e-15	2.5161e-07	0.000381	9
APPBP2	10	4.7626e-14	2.5161e-07	0.000381	10
GPR174	10	3.4871e-09	2.5161e-07	0.000381	10
DDIT4	10	6.5136e-09	2.5161e-07	0.000381	8
DEPDC5	10	9.5045e-09	2.5161e-07	0.000381	10
PREP	10	1.6105e-08	2.5161e-07	0.000381	10
FAM208A	10	1.9462e-08	2.5161e-07	0.000381	9
PANK4	10	3.0634e-08	2.5161e-07	0.000381	9
C18orf8	10	3.5490e-08	2.5161e-07	0.000381	10
CASP8	10	4.6284e-08	2.5161e-07	0.000381	10
TBC1D7	10	2.3218e-07	2.5161e-07	0.000381	9
NPRL2	10	3.4155e-07	2.5161e-07	0.000381	9
ZNF853	10	5.2954e-07	1.7613e-06	0.002310	8
NRGN	10	5.3877e-07	1.7613e-06	0.002310	9
NPS	10	7.0159e-07	2.7677e-06	0.003403	10
C6orf10	10	8.4282e-07	3.7742e-06	0.004368	10
HIST1H1C	10	1.0368e-06	6.7936e-06	0.007426	9
CDY1	10	1.7536e-06	1.1826e-05	0.011634	10
CDY1B	10	1.7536e-06	1.1826e-05	0.011634	10
SPINK13	10	2.8286e-06	2.0884e-05	0.019566	9
RPS4Y2	10	3.1888e-06	2.5916e-05	0.023177	10
ACRV1	10	3.5807e-06	3.0445e-05	0.024576	10
ASB7	10	3.7204e-06	3.0948e-05	0.024576	10
GALR1	10	4.1473e-06	3.2961e-05	0.024576	8
MORC2	10	4.1490e-06	3.2961e-05	0.024576	9
PTPN2	10	4.2936e-06	3.4974e-05	0.024576	9
SETDB1	10	4.3315e-06	3.4974e-05	0.024576	10
GNAS	10	5.1701e-06	4.4536e-05	0.028653	9
SSR3	10	5.3755e-06	4.7555e-05	0.028653	9
SSR1	10	5.4862e-06	4.7555e-05	0.028653	9
JAGN1	10	5.5393e-06	4.8058e-05	0.028653	9
CFH	10	5.5974e-06	4.8058e-05	0.028653	10
VGLL4	10	7.1032e-06	5.6613e-05	0.032513	8
CCNY	10	7.3221e-06	5.9129e-05	0.032513	9
LDOC1	10	7.5369e-06	6.0639e-05	0.032513	8
EHHADH	10	7.5959e-06	6.1142e-05	0.032513	9
EIF1AY	10	7.8946e-06	6.3658e-05	0.032960	9
ZNF808	10	8.6701e-06	7.2213e-05	0.036431	10
ZNF420	10	9.7328e-06	7.9258e-05	0.038034	10
MPHOSPH8	10	9.7618e-06	7.9258e-05	0.038034	10
SIGLEC14	10	1.0839e-05	8.7310e-05	0.039949	9
HMSD	10	1.0885e-05	8.7310e-05	0.039949	10
HSFY2	10	1.2274e-05	9.4858e-05	0.041474	9
HSFY1	10	1.2274e-05	9.4858e-05	0.041474	9
KLRF2	10	1.2741e-05	1.0039e-04	0.042940	8
BSPH1	10	1.3612e-05	1.1021e-04	0.045689	9
ZNF600	10	1.3681e-05	1.1146e-04	0.045689	9
FADD	10	1.4205e-05	1.1700e-04	0.046979	8
SLC26A1	10	1.5008e-05	1.2656e-04	0.049802	9
NR2C1	10	1.6295e-05	1.3965e-04	0.053789	10
FGF13	10	1.6897e-05	1.4216e-04	0.053789	9
ARMCX1	10	1.8131e-05	1.5424e-04	0.057258	8
CXCL13	10	1.9352e-05	1.6481e-04	0.058956	10
CARD18	10	2.0092e-05	1.7034e-04	0.059848	10
ZNF562	10	2.0677e-05	1.7638e-04	0.060882	10
CDK17	10	2.2539e-05	1.8544e-04	0.062905	10
RBMY1E	10	2.3525e-05	1.9399e-04	0.063614	9
