group_id	items_in_group	lo_value	p	FDR	goodsgrna
APPBP2	10	3.4793e-11	2.5178e-07	0.001650	9
ATF7IP	10	7.3912e-10	2.5178e-07	0.001650	8
MGA	10	2.8222e-08	2.5178e-07	0.001650	9
BPHL	10	1.5115e-06	1.0827e-05	0.044554	6
FAM208A	10	1.7285e-06	1.1330e-05	0.044554	8
MAN2B2	10	2.6100e-06	1.9387e-05	0.063531	10
ERICH1	10	4.9157e-06	4.3558e-05	0.122348	9
YTHDF2	10	6.4002e-06	5.4636e-05	0.130963	8
THADA	10	8.0536e-06	6.5211e-05	0.130963	9
LYVE1	9	8.2021e-06	6.7729e-05	0.130963	5
RAB27B	10	8.7434e-06	7.3268e-05	0.130963	10
RCC2	10	1.7984e-05	1.5333e-04	0.215347	7
VTA1	10	1.8031e-05	1.5333e-04	0.215347	9
ZC2HC1B	10	3.1075e-05	2.5455e-04	0.312809	9
RBKS	10	3.4178e-05	2.8124e-04	0.325277	4
TMX3	10	3.6691e-05	3.0491e-04	0.333058	10
PURA	10	4.1427e-05	3.5023e-04	0.362428	7
AKTIP	10	5.2728e-05	4.2324e-04	0.375592	7
TRO	10	5.3289e-05	4.2777e-04	0.375592	7
IL17RB	10	5.5563e-05	4.3936e-04	0.375592	5
ITM2B	10	5.5563e-05	4.3936e-04	0.375592	4
TCAP	10	5.8025e-05	4.6202e-04	0.378507	7
KLHL6	10	6.1858e-05	4.9525e-04	0.389505	8
SPRY3	10	7.3504e-05	5.6877e-04	0.414558	9
ZEB1	10	7.3659e-05	5.6927e-04	0.414558	8
NRSN2	10	8.3474e-05	6.3776e-04	0.434870	9
KISS1	10	8.6081e-05	6.5639e-04	0.434870	8
UGT2B7	10	9.1791e-05	6.9114e-04	0.434870	8
GOLGA7	10	9.2746e-05	6.9970e-04	0.434870	7
DCAF6	10	9.3332e-05	7.0775e-04	0.434870	9
FHL5	9	9.7717e-05	7.8329e-04	0.466697	9
CALHM3	10	1.1290e-04	8.4724e-04	0.489953	9
SSFA2	9	1.2501e-04	9.9881e-04	0.505363	3
SRGAP3	10	1.2677e-04	9.5349e-04	0.505363	8
SPATA12	10	1.3468e-04	1.0094e-03	0.505363	9
EYA4	10	1.3943e-04	1.0557e-03	0.505363	9
sgKRTAP13-2_7	1	1.5002e-04	1.4880e-04	0.215347	1
KLF10	10	1.5422e-04	1.1569e-03	0.505363	7
TSTA3	10	1.6844e-04	1.2546e-03	0.505363	3
CNN3	10	1.6974e-04	1.2622e-03	0.505363	8
GRIK3	10	1.7817e-04	1.3090e-03	0.505363	8
BRDT	10	1.8278e-04	1.3364e-03	0.505363	9
ZFYVE16	10	1.8303e-04	1.3382e-03	0.505363	9
BACE2	10	1.8655e-04	1.3714e-03	0.505363	9
MSI2	10	1.9209e-04	1.4122e-03	0.505363	9
KLHL14	10	1.9267e-04	1.4153e-03	0.505363	8
ZNF292	10	1.9373e-04	1.4208e-03	0.505363	4
TTLL10	9	1.9380e-04	1.4505e-03	0.505363	8
THEG	10	1.9446e-04	1.4243e-03	0.505363	7
CCNT1	10	2.0010e-04	1.4621e-03	0.505363	4
AMER2	10	2.0764e-04	1.5140e-03	0.505363	8
ASB7	10	2.0982e-04	1.5273e-03	0.505363	8
SETDB1	10	2.1041e-04	1.5326e-03	0.505363	7
sgKRTAP10-5_1	1	2.1392e-04	2.1578e-04	0.282838	1
CFLAR	10	2.1680e-04	1.5855e-03	0.505363	9
DNASE1L2	10	2.3359e-04	1.7068e-03	0.505363	8
AIMP2	10	2.3629e-04	1.7214e-03	0.505363	9
AFMID	10	2.4431e-04	1.7728e-03	0.505363	6
RANBP6	10	2.4744e-04	1.7949e-03	0.505363	9
EIF4E3	10	2.4897e-04	1.8055e-03	0.505363	6
DCSTAMP	10	2.5020e-04	1.8141e-03	0.505363	7
PQLC1	9	2.5906e-04	1.8725e-03	0.505363	8
BTBD8	10	2.5975e-04	1.8886e-03	0.505363	9
