group_id	items_in_group	lo_value	p	FDR	goodsgrna
RPL23A	10	5.9700e-17	2.5161e-07	0.000010	10
UMPS	10	1.1269e-13	2.5161e-07	0.000010	10
SNRNP200	10	1.3541e-13	2.5161e-07	0.000010	9
BCR	10	8.3648e-13	2.5161e-07	0.000010	10
RCC1	10	9.0769e-13	2.5161e-07	0.000010	10
ATP6V0C	10	1.1445e-12	2.5161e-07	0.000010	10
ABL1	10	1.7025e-12	2.5161e-07	0.000010	10
TRMT112	10	2.3062e-12	2.5161e-07	0.000010	10
RPL32	10	2.5944e-12	2.5161e-07	0.000010	10
RPL8	10	2.9566e-12	2.5161e-07	0.000010	9
TXNL4A	10	2.9652e-12	2.5161e-07	0.000010	9
RPL18	10	4.7536e-12	2.5161e-07	0.000010	10
CDC73	10	6.8626e-12	2.5161e-07	0.000010	10
RPL36	10	8.8903e-12	2.5161e-07	0.000010	10
INO80	10	1.0812e-11	2.5161e-07	0.000010	9
ATIC	10	1.1053e-11	2.5161e-07	0.000010	10
PSMA7	10	1.1592e-11	2.5161e-07	0.000010	10
CAD	10	1.4090e-11	2.5161e-07	0.000010	10
CCT2	10	2.8013e-11	2.5161e-07	0.000010	10
QARS	10	2.9642e-11	2.5161e-07	0.000010	10
NOP58	10	3.8260e-11	2.5161e-07	0.000010	10
CCT3	10	4.0801e-11	2.5161e-07	0.000010	10
RPL13	10	4.0924e-11	2.5161e-07	0.000010	10
IARS	10	4.2487e-11	2.5161e-07	0.000010	10
PPCDC	10	4.6038e-11	2.5161e-07	0.000010	10
MED11	10	5.8498e-11	2.5161e-07	0.000010	9
MRPL38	10	5.9188e-11	2.5161e-07	0.000010	10
SRSF2	10	5.9811e-11	2.5161e-07	0.000010	10
YARS2	10	5.9835e-11	2.5161e-07	0.000010	10
POLR2J3	10	6.5431e-11	2.5161e-07	0.000010	10
ATP2A2	10	6.6150e-11	2.5161e-07	0.000010	10
WDR43	10	6.8787e-11	2.5161e-07	0.000010	10
CDC16	10	7.5666e-11	2.5161e-07	0.000010	10
FARSA	10	7.7891e-11	2.5161e-07	0.000010	10
ORC6	10	1.1232e-10	2.5161e-07	0.000010	10
MARS	10	1.1549e-10	2.5161e-07	0.000010	10
VPS29	10	1.2017e-10	2.5161e-07	0.000010	10
GCLC	10	1.2214e-10	2.5161e-07	0.000010	10
PSMD2	10	1.4624e-10	2.5161e-07	0.000010	10
BUB3	10	1.7095e-10	2.5161e-07	0.000010	8
HDAC3	10	1.7134e-10	2.5161e-07	0.000010	10
PSMG3	10	1.7607e-10	2.5161e-07	0.000010	9
MASTL	10	1.9328e-10	2.5161e-07	0.000010	10
TUBB	10	1.9358e-10	2.5161e-07	0.000010	10
RPS15A	10	2.0472e-10	2.5161e-07	0.000010	10
NSMCE1	10	2.2091e-10	2.5161e-07	0.000010	10
EIF4A3	10	2.3616e-10	2.5161e-07	0.000010	10
MCM2	10	2.5538e-10	2.5161e-07	0.000010	10
HSPE1	9	2.6178e-10	2.5161e-07	0.000010	9
KIF11	10	2.6926e-10	2.5161e-07	0.000010	10
GPN3	10	2.8881e-10	2.5161e-07	0.000010	10
RBM14	10	2.8917e-10	2.5161e-07	0.000010	10
MRPL53	10	3.1479e-10	2.5161e-07	0.000010	9
HEATR1	10	3.2629e-10	2.5161e-07	0.000010	10
SPRTN	10	3.2677e-10	2.5161e-07	0.000010	10
WDR3	10	3.3005e-10	2.5161e-07	0.000010	10
IARS2	10	3.5735e-10	2.5161e-07	0.000010	10
YARS	10	3.7114e-10	2.5161e-07	0.000010	10
TTI1	10	3.9878e-10	2.5161e-07	0.000010	10
RPS6	10	4.0264e-10	2.5161e-07	0.000010	9
DHFR	10	4.3956e-10	2.5161e-07	0.000010	10
RPTOR	10	5.1284e-10	2.5161e-07	0.000010	10
PLK1	10	5.2451e-10	2.5161e-07	0.000010	10
MRP63	10	5.2522e-10	2.5161e-07	0.000010	9
PRMT5	10	5.3132e-10	2.5161e-07	0.000010	9
RPS5	10	5.3311e-10	2.5161e-07	0.000010	10
RPL37	10	5.4297e-10	2.5161e-07	0.000010	10
CDC23	10	5.4882e-10	2.5161e-07	0.000010	10
RPS11	10	5.5785e-10	2.5161e-07	0.000010	9
XPO1	10	5.6659e-10	2.5161e-07	0.000010	10
ALDOA	10	6.0275e-10	2.5161e-07	0.000010	10
PSMB4	10	6.1568e-10	2.5161e-07	0.000010	10
RAN	10	6.4123e-10	2.5161e-07	0.000010	10
ATP6V1A	10	6.5629e-10	2.5161e-07	0.000010	10
SF1	10	6.7941e-10	2.5161e-07	0.000010	9
RUVBL1	10	7.0664e-10	2.5161e-07	0.000010	10
KARS	10	7.2217e-10	2.5161e-07	0.000010	10
ATP1A1	10	7.6019e-10	2.5161e-07	0.000010	10
SF3B3	10	7.7135e-10	2.5161e-07	0.000010	10
NOB1	10	8.0517e-10	2.5161e-07	0.000010	9
DDX49	10	8.2335e-10	2.5161e-07	0.000010	10
RPL9	10	8.3417e-10	2.5161e-07	0.000010	10
