group_id	items_in_group	lo_value	p	FDR	goodsgrna
CLP1	10	1.8564e-13	2.5165e-07	0.000014	10
TRMT112	10	6.8382e-13	2.5165e-07	0.000014	10
DHFR	10	7.9108e-13	2.5165e-07	0.000014	10
BCR	10	2.7350e-12	2.5165e-07	0.000014	10
RPL35A	10	5.1918e-12	2.5165e-07	0.000014	10
CDC16	9	8.6085e-12	2.5165e-07	0.000014	9
TUBB	10	1.0346e-11	2.5165e-07	0.000014	10
CAD	10	1.1733e-11	2.5165e-07	0.000014	10
PCNA	10	1.3928e-11	2.5165e-07	0.000014	10
ATP6V0C	10	1.4380e-11	2.5165e-07	0.000014	10
PSMA7	10	1.5954e-11	2.5165e-07	0.000014	10
POLR2L	10	2.0377e-11	2.5165e-07	0.000014	9
RPL32	10	2.2537e-11	2.5165e-07	0.000014	10
UMPS	10	3.2916e-11	2.5165e-07	0.000014	10
RPS15	10	3.5878e-11	2.5165e-07	0.000014	10
RPL23A	10	4.2326e-11	2.5165e-07	0.000014	10
TUBGCP2	10	4.6214e-11	2.5165e-07	0.000014	10
AHCYL1	10	5.2782e-11	2.5165e-07	0.000014	10
HSPE1	9	5.5779e-11	2.5165e-07	0.000014	9
LAMC3	10	5.9158e-11	2.5165e-07	0.000014	10
UBE2I	10	6.5355e-11	2.5165e-07	0.000014	10
MARS	10	6.7857e-11	2.5165e-07	0.000014	10
XPO1	10	1.0495e-10	2.5165e-07	0.000014	10
HARS	10	1.0709e-10	2.5165e-07	0.000014	10
TXNL4A	10	1.0722e-10	2.5165e-07	0.000014	10
SNRPD1	10	1.1475e-10	2.5165e-07	0.000014	10
RPL18	10	1.2885e-10	2.5165e-07	0.000014	10
ATIC	10	1.2895e-10	2.5165e-07	0.000014	10
NCBP2	10	1.3084e-10	2.5165e-07	0.000014	10
QARS	10	1.3329e-10	2.5165e-07	0.000014	10
QRFP	10	1.4583e-10	2.5165e-07	0.000014	10
RRM1	10	1.5872e-10	2.5165e-07	0.000014	10
RPL36	10	1.6631e-10	2.5165e-07	0.000014	10
CENPM	10	1.6794e-10	2.5165e-07	0.000014	10
TOP3B	10	1.7817e-10	2.5165e-07	0.000014	10
ABL1	10	1.8030e-10	2.5165e-07	0.000014	10
PELO	10	1.8667e-10	2.5165e-07	0.000014	10
GATA1	10	1.9128e-10	2.5165e-07	0.000014	10
NARS	10	1.9307e-10	2.5165e-07	0.000014	10
EP300	10	1.9614e-10	2.5165e-07	0.000014	10
KIF11	10	2.0546e-10	2.5165e-07	0.000014	10
RUVBL1	10	2.0984e-10	2.5165e-07	0.000014	10
MAPK1	10	2.4118e-10	2.5165e-07	0.000014	10
CCT2	10	2.6950e-10	2.5165e-07	0.000014	10
DDX49	10	2.8289e-10	2.5165e-07	0.000014	10
PSMC4	10	3.0288e-10	2.5165e-07	0.000014	10
EIF4A3	10	3.1123e-10	2.5165e-07	0.000014	10
PRMT1	10	3.1781e-10	2.5165e-07	0.000014	9
POLR2J3	10	3.2358e-10	2.5165e-07	0.000014	10
RPS7	10	3.3473e-10	2.5165e-07	0.000014	10
RPL13	10	3.3514e-10	2.5165e-07	0.000014	10
RCC1	10	3.3736e-10	2.5165e-07	0.000014	10
SARS	10	4.1225e-10	2.5165e-07	0.000014	10
RPL15	10	4.3289e-10	2.5165e-07	0.000014	10
RBM14	10	4.4677e-10	2.5165e-07	0.000014	9
PRPF19	10	4.8391e-10	2.5165e-07	0.000014	10
RPL10	10	5.1839e-10	2.5165e-07	0.000014	10
PRPF8	10	5.8837e-10	2.5165e-07	0.000014	10
RPS6	10	6.0485e-10	2.5165e-07	0.000014	10
PFN1	10	6.2884e-10	2.5165e-07	0.000014	10
SMU1	10	6.4613e-10	2.5165e-07	0.000014	9
RAN	10	6.6352e-10	2.5165e-07	0.000014	10
ANAPC11	10	7.0110e-10	2.5165e-07	0.000014	10
PSMA6	10	7.3558e-10	2.5165e-07	0.000014	10
DNM2	10	7.4850e-10	2.5165e-07	0.000014	10
YARS	10	7.5796e-10	2.5165e-07	0.000014	10
EIF2S2	10	8.5646e-10	2.5165e-07	0.000014	9
POLR1B	10	9.0065e-10	2.5165e-07	0.000014	10
RPS3A	10	9.1189e-10	2.5165e-07	0.000014	10
RPS28	10	9.2879e-10	2.5165e-07	0.000014	10
NAA25	10	9.5265e-10	2.5165e-07	0.000014	10
HSPA5	10	9.7910e-10	2.5165e-07	0.000014	10
TRAPPC1	10	1.0063e-09	2.5165e-07	0.000014	10
NOP58	10	1.0076e-09	2.5165e-07	0.000014	10
POLR2A	10	1.0249e-09	2.5165e-07	0.000014	10
PSMB6	10	1.0867e-09	2.5165e-07	0.000014	10
SMCHD1	10	1.3626e-09	2.5165e-07	0.000014	10
FKBPL	10	1.4351e-09	2.5165e-07	0.000014	10
RPS15A	10	1.5287e-09	2.5165e-07	0.000014	10
WDR33	10	1.5652e-09	2.5165e-07	0.000014	9
TPX2	10	1.5715e-09	2.5165e-07	0.000014	10
FPGS	10	1.6526e-09	2.5165e-07	0.000014	9
RPS14	10	1.6749e-09	2.5165e-07	0.000014	10
CDC45	10	1.9062e-09	2.5165e-07	0.000014	9
CBFA2T3	10	1.9594e-09	2.5165e-07	0.000014	10
RPL8	10	2.0076e-09	2.5165e-07	0.000014	10
SCD	10	2.0301e-09	2.5165e-07	0.000014	10
AP2S1	10	2.0950e-09	2.5165e-07	0.000014	10
RPL17	9	2.1029e-09	2.5165e-07	0.000014	8
IARS	10	2.1262e-09	2.5165e-07	0.000014	10
LRR1	10	2.2164e-09	2.5165e-07	0.000014	10
PTPMT1	9	2.2366e-09	2.5165e-07	0.000014	9
EXOSC4	10	2.3192e-09	2.5165e-07	0.000014	10
HINFP	10	2.3532e-09	2.5165e-07	0.000014	10
UBA3	10	2.4620e-09	2.5165e-07	0.000014	9
RPL9	10	2.5568e-09	2.5165e-07	0.000014	9
THOC7	10	2.6409e-09	2.5165e-07	0.000014	9
POLR2C	10	2.8674e-09	2.5165e-07	0.000014	10
PHB	10	2.9346e-09	2.5165e-07	0.000014	10
DTYMK	10	2.9547e-09	2.5165e-07	0.000014	10
C21orf59	10	2.9688e-09	2.5165e-07	0.000014	10
RPLP0	10	3.1718e-09	2.5165e-07	0.000014	9
HSD17B12	10	3.3258e-09	2.5165e-07	0.000014	10
DHODH	10	3.4283e-09	2.5165e-07	0.000014	10
EIF3D	10	3.5721e-09	2.5165e-07	0.000014	10
EEF2	10	3.5922e-09	2.5165e-07	0.000014	10
INCENP	10	3.6870e-09	2.5165e-07	0.000014	10
POLR1A	10	3.7879e-09	2.5165e-07	0.000014	10
RFC3	10	3.9646e-09	2.5165e-07	0.000014	10
HSD17B10	10	3.9867e-09	2.5165e-07	0.000014	10
CDIPT	10	4.1083e-09	2.5165e-07	0.000014	10
CCDC116	10	4.3756e-09	2.5165e-07	0.000014	10
SSBP3	10	4.3989e-09	2.5165e-07	0.000014	10
VARS	10	4.4810e-09	2.5165e-07	0.000014	10
PRMT5	10	4.6256e-09	2.5165e-07	0.000014	10
NHP2L1	10	4.6988e-09	2.5165e-07	0.000014	10
WEE1	10	4.7204e-09	2.5165e-07	0.000014	10
RPS11	10	4.7867e-09	2.5165e-07	0.000014	10
FBXW11	10	4.8296e-09	2.5165e-07	0.000014	9
RABGGTB	10	4.8886e-09	2.5165e-07	0.000014	10
RPL3	10	4.9436e-09	2.5165e-07	0.000014	10
PPIL2	10	4.9955e-09	2.5165e-07	0.000014	10
WARS	10	5.0697e-09	2.5165e-07	0.000014	10
SNRPD3	10	5.6445e-09	2.5165e-07	0.000014	8
ATP6V1A	10	5.7528e-09	2.5165e-07	0.000014	10
EIF2S1	10	5.9489e-09	2.5165e-07	0.000014	10
DNM1L	10	6.0176e-09	2.5165e-07	0.000014	9
RPL11	10	6.1350e-09	2.5165e-07	0.000014	10
AIF1L	10	6.3011e-09	2.5165e-07	0.000014	10
CPSF2	10	6.9864e-09	2.5165e-07	0.000014	10
PSMB5	10	7.0292e-09	2.5165e-07	0.000014	9
MED11	10	7.2464e-09	2.5165e-07	0.000014	10
MRPL10	10	7.2851e-09	2.5165e-07	0.000014	10
DDX46	10	7.3536e-09	2.5165e-07	0.000014	10
GPN3	10	8.2867e-09	2.5165e-07	0.000014	10
UBE2L3	10	8.3550e-09	2.5165e-07	0.000014	10
IPO13	10	8.8443e-09	2.5165e-07	0.000014	10
KARS	10	9.5167e-09	2.5165e-07	0.000014	10
GNB2L1	10	1.0003e-08	2.5165e-07	0.000014	10
PRC1	10	1.0044e-08	2.5165e-07	0.000014	8
POLR3H	10	1.0071e-08	2.5165e-07	0.000014	10
PGAM1	10	1.0459e-08	2.5165e-07	0.000014	9
WDR3	10	1.0512e-08	2.5165e-07	0.000014	10
GTF3C2	10	1.0595e-08	2.5165e-07	0.000014	8
ESPL1	10	1.0603e-08	2.5165e-07	0.000014	9
TARS2	10	1.0707e-08	2.5165e-07	0.000014	10
LSM3	10	1.0732e-08	2.5165e-07	0.000014	10
HIC2	10	1.0872e-08	2.5165e-07	0.000014	9
SRSF2	10	1.1052e-08	2.5165e-07	0.000014	10
PSMC3	10	1.1213e-08	2.5165e-07	0.000014	9
WDR43	10	1.1454e-08	2.5165e-07	0.000014	10
ORAOV1	10	1.1579e-08	2.5165e-07	0.000014	9
NELFB	10	1.1623e-08	2.5165e-07	0.000014	10
EIF3CL	10	1.1633e-08	2.5165e-07	0.000014	10
PPIAL4D	10	1.2214e-08	2.5165e-07	0.000014	7
RPS27A	10	1.2388e-08	2.5165e-07	0.000014	10
NSF	10	1.2706e-08	2.5165e-07	0.000014	10
PSMB4	10	1.3261e-08	2.5165e-07	0.000014	10
PHF5A	10	1.3897e-08	2.5165e-07	0.000014	9
ISG20L2	10	1.4036e-08	2.5165e-07	0.000014	10
RPA1	10	1.4173e-08	2.5165e-07	0.000014	9
RPL10A	10	1.4363e-08	2.5165e-07	0.000014	10
RPS4X	10	1.4712e-08	2.5165e-07	0.000014	10
GCLC	10	1.4800e-08	2.5165e-07	0.000014	10
RPL18A	10	1.5847e-08	2.5165e-07	0.000014	9
CCT5	10	1.6258e-08	2.5165e-07	0.000014	9
GINS2	10	1.6790e-08	2.5165e-07	0.000014	10
EFTUD2	10	1.6900e-08	2.5165e-07	0.000014	9
LSM2	10	1.7089e-08	2.5165e-07	0.000014	9
CDK9	10	1.7212e-08	2.5165e-07	0.000014	10
RPS12	10	1.7226e-08	2.5165e-07	0.000014	8
MRPS16	10	1.7371e-08	2.5165e-07	0.000014	10
VPS28	10	1.7492e-08	2.5165e-07	0.000014	10
RPL5	10	1.8148e-08	2.5165e-07	0.000014	10
MRP63	10	1.8523e-08	2.5165e-07	0.000014	10
SNRPE	8	1.8666e-08	2.5165e-07	0.000014	8
EEF1A1	9	1.9034e-08	2.5165e-07	0.000014	7
GRWD1	10	1.9103e-08	2.5165e-07	0.000014	10
GGTLC2	10	1.9553e-08	2.5165e-07	0.000014	9
NUP214	10	1.9723e-08	2.5165e-07	0.000014	10
NVL	10	2.0258e-08	2.5165e-07	0.000014	10
RPP21	10	2.0284e-08	2.5165e-07	0.000014	10
AQR	10	2.0335e-08	2.5165e-07	0.000014	9
VPS29	10	2.0895e-08	2.5165e-07	0.000014	10
SF3B3	10	2.0926e-08	2.5165e-07	0.000014	9
GMPS	10	2.1392e-08	2.5165e-07	0.000014	10
HSPA9	9	2.1725e-08	2.5165e-07	0.000014	9
HSPD1	10	2.1762e-08	2.5165e-07	0.000014	9
PFAS	10	2.2035e-08	2.5165e-07	0.000014	10
ARVCF	10	2.2280e-08	2.5165e-07	0.000014	10
RPS8	10	2.2570e-08	2.5165e-07	0.000014	10
RPL30	10	2.2852e-08	2.5165e-07	0.000014	9
ATP5D	10	2.2927e-08	2.5165e-07	0.000014	10
POLR2B	10	2.3074e-08	2.5165e-07	0.000014	10
RPS9	10	2.3478e-08	2.5165e-07	0.000014	9
MTHFD1	10	2.3986e-08	2.5165e-07	0.000014	9
RPS19	10	2.3992e-08	2.5165e-07	0.000014	10
CKAP5	10	2.4934e-08	2.5165e-07	0.000014	10
RPL26	10	2.5014e-08	2.5165e-07	0.000014	9
TTC27	10	2.5613e-08	2.5165e-07	0.000014	9
GINS1	10	2.6524e-08	2.5165e-07	0.000014	9
NLE1	10	2.6548e-08	2.5165e-07	0.000014	10
MRPL4	10	2.6677e-08	2.5165e-07	0.000014	10
PRAME	10	2.7009e-08	2.5165e-07	0.000014	10
CDC5L	10	2.8482e-08	2.5165e-07	0.000014	10
PELP1	10	2.8987e-08	2.5165e-07	0.000014	10
FNTB	10	2.9096e-08	2.5165e-07	0.000014	10
EIF2B3	10	3.0378e-08	2.5165e-07	0.000014	9
RPL37A	10	3.0459e-08	2.5165e-07	0.000014	9
USP39	10	3.0485e-08	2.5165e-07	0.000014	9
GTF2H4	10	3.1912e-08	2.5165e-07	0.000014	10
EXOSC7	10	3.3627e-08	2.5165e-07	0.000014	10
ZNF259	10	3.3649e-08	2.5165e-07	0.000014	10
AURKB	10	3.3870e-08	2.5165e-07	0.000014	10
MCMBP	10	3.4666e-08	2.5165e-07	0.000014	10
BUB3	10	3.5326e-08	2.5165e-07	0.000014	9
ACO2	10	3.7115e-08	2.5165e-07	0.000014	10
POLR2J	10	3.8014e-08	2.5165e-07	0.000014	10
POLR2J2	10	3.8014e-08	2.5165e-07	0.000014	8
CPSF3	10	3.8091e-08	2.5165e-07	0.000014	10
RHEB	10	4.0463e-08	2.5165e-07	0.000014	9
RPSA	10	4.1226e-08	2.5165e-07	0.000014	9
CTAGE9	10	4.1363e-08	2.5165e-07	0.000014	9
DHX8	10	4.1987e-08	2.5165e-07	0.000014	10
SOS1	10	4.2105e-08	2.5165e-07	0.000014	10
TARS	10	4.2457e-08	2.5165e-07	0.000014	9
TERF2	10	4.2674e-08	2.5165e-07	0.000014	10
TONSL	10	4.4450e-08	2.5165e-07	0.000014	9
WDR61	10	4.4464e-08	2.5165e-07	0.000014	10
SEC61A1	10	4.5432e-08	2.5165e-07	0.000014	8
MTPAP	10	4.7699e-08	2.5165e-07	0.000014	10
MVD	10	5.2456e-08	2.5165e-07	0.000014	10
GAPDH	10	5.5591e-08	2.5165e-07	0.000014	10
TPT1	10	5.5608e-08	2.5165e-07	0.000014	10
KPNB1	10	5.5725e-08	2.5165e-07	0.000014	10
PPP2R3C	10	5.6323e-08	2.5165e-07	0.000014	10
RPL7A	10	5.6374e-08	2.5165e-07	0.000014	10
PCID2	10	5.7089e-08	2.5165e-07	0.000014	10
DCTN3	10	5.7146e-08	2.5165e-07	0.000014	9
CARS	10	5.7742e-08	2.5165e-07	0.000014	9
C22orf29	10	5.8432e-08	2.5165e-07	0.000014	9
WDR12	10	6.1507e-08	2.5165e-07	0.000014	9
WBSCR22	10	6.2215e-08	2.5165e-07	0.000014	9
GPN2	10	6.2394e-08	2.5165e-07	0.000014	10
VPS25	10	6.2436e-08	2.5165e-07	0.000014	9
MRPL37	10	6.2995e-08	2.5165e-07	0.000014	10
NEDD8	10	6.3260e-08	2.5165e-07	0.000014	10
BANF1	10	6.3908e-08	2.5165e-07	0.000014	7
SNRNP25	10	6.4111e-08	2.5165e-07	0.000014	10
BUD31	10	6.6731e-08	2.5165e-07	0.000014	9
SNRPF	10	6.7161e-08	2.5165e-07	0.000014	10
