ProteinGroups,ProteinAccessions,Genes,ProteinDescriptions,UniProtIds,ProteinNames,FastaFiles,sample_01,sample_02,sample_03,sample_04,sample_05,sample_06,sample_07,sample_08,sample_09,sample_10,sample_11
A0A0G2JDV3,A0A0G2JDV3,Gbp6,Guanylate-binding protein 6,A0A0G2JDV3,GBP6_MOUSE,UP000000589_mouse_reviewed_can_220920,38480.66016,51679.58984,48042.98828,43414.27344,50041.24219,38677.94531,36899.86719,41435.59375,55461.05859,46820.78516,38306.47656
A2A5R2,A2A5R2,Arfgef2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,A2A5R2,BIG2_MOUSE,UP000000589_mouse_reviewed_can_220920,22209.35742,24479.61914,20675.66406,24447.93555,22826.14063,19614.28125,23178.76172,24686.68359,19290.52344,20402.11914,21867.51758
A2A8U2,A2A8U2,Tmem201,Transmembrane protein 201,A2A8U2,TM201_MOUSE,UP000000589_mouse_reviewed_can_220920,100770.7109,91164.00781,81970.82031,85584.32813,88891.92188,95595.34375,99303.5625,91516.73438,59354.37109,59475.125,72485.39844
A2A8Z1,A2A8Z1,Osbpl9,Oxysterol-binding protein-related protein 9,A2A8Z1,OSBL9_MOUSE,UP000000589_mouse_reviewed_can_220920,22835.12891,29353.0625,23303.72266,24671.97852,29710.06055,29601.01953,27840.55078,36285.85547,31650.64453,29971.93164,31229.89844
A2AAJ9,A2AAJ9,Obscn,Obscurin,A2AAJ9,OBSCN_MOUSE,UP000000589_mouse_reviewed_can_220920,4324931,4616566,4546612,4293437.5,4550218.5,4587979,4330907.5,4454423,4478835,4873191.5,5238210
A2ADF7,A2ADF7,Slc25a34,Solute carrier family 25 member 34,A2ADF7,S2534_MOUSE,UP000000589_mouse_reviewed_can_220920,55287.65234,49832.98828,26021.05859,53908.77734,24495.67578,52050.36719,54129.80859,44666.50781,41373.21875,34357.10156,43693.95313
A2AGT5,A2AGT5,Ckap5,Cytoskeleton-associated protein 5,A2AGT5,CKAP5_MOUSE,UP000000589_mouse_reviewed_can_220920,145336.6406,143935.7344,150678.9531,141418.4063,141736.8281,149073.5313,128079.2969,132706.8906,135666.1406,116165.4063,132834.0469
A2AIL4,A2AIL4,Ndufaf6,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 6",A2AIL4,NDUF6_MOUSE,UP000000589_mouse_reviewed_can_220920,57864.96094,56696.92188,50695.80469,52599.01172,59129.33203,61379.12891,58339.60156,57180.52734,49548.29688,54406.58594,55485.68359
A2AJI0,A2AJI0,Map7d1,MAP7 domain-containing protein 1,A2AJI0,MA7D1_MOUSE,UP000000589_mouse_reviewed_can_220920,295712.125,292336.25,310369.9375,288633.625,301592.5313,304395.25,282578.0938,280269.125,259627.4375,275936,278489.75
A2AMM0,A2AMM0,Cavin4,Caveolae-associated protein 4,A2AMM0,CAVN4_MOUSE,UP000000589_mouse_reviewed_can_220920,2135541.25,2277877.5,2447013.5,2186785.75,2362858.5,2412400.75,2026223.25,2316002.75,2277597.25,2234737.5,2133251.75
A2AMZ4,A2AMZ4,Ndufaf8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8,A2AMZ4,NDUF8_MOUSE,UP000000589_mouse_reviewed_can_220920,Filtered,22029.11914,83515.75,35514.66406,393725.1875,Filtered,12371.09668,Filtered,10277.56738,49183.43359,Filtered
A2AN08,A2AN08,Ubr4,E3 ubiquitin-protein ligase UBR4,A2AN08,UBR4_MOUSE,UP000000589_mouse_reviewed_can_220920,70385.10938,68659.54688,74365.8125,69305.46094,66286.30469,73820.75,74784.32031,74729.22656,67358.14063,66777.46094,67517.21094
A2APY7,A2APY7,Ndufaf5,"Arginine-hydroxylase NDUFAF5, mitochondrial",A2APY7,NDUF5_MOUSE,UP000000589_mouse_reviewed_can_220920,225427.6563,222304.3438,202569.0313,228700.8125,209169.4844,218782.0625,208878,203622.3125,222037.6563,190588.2813,200955.2656
A2AQ25,A2AQ25,Skt,Sickle tail protein,A2AQ25,SKT_MOUSE,UP000000589_mouse_reviewed_can_220920,47769.09375,46780.625,50015.92969,45933.85547,44102.36328,29745.43555,45555.38281,30423.26758,42431.40234,39732.48047,47818.15234
A2AR02,A2AR02,Ppig,Peptidyl-prolyl cis-trans isomerase G,A2AR02,PPIG_MOUSE,UP000000589_mouse_reviewed_can_220920,27341.27344,23082.82031,24291.83984,27236.99219,19824.48047,22956.72266,23537.48438,20134.28711,13480.875,15992.0166,17309.52539
A2ARP1,A2ARP1,Ppip5k1,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1,A2ARP1,VIP1_MOUSE,UP000000589_mouse_reviewed_can_220920,16404.27734,7094.692871,10675.7207,14291.40234,9438.941406,16316.25684,17568.9375,12122.00098,12867.54297,12759.56152,10208.33594
A2ARS0,A2ARS0,Ankrd63,Ankyrin repeat domain-containing protein 63,A2ARS0,ANR63_MOUSE,UP000000589_mouse_reviewed_can_220920,614480.625,894735.5,517116.5938,479762.8438,589952.5,740190.25,513546.2188,586502.625,745630.4375,583100.25,648985.375
A2ASQ1,A2ASQ1,Agrn,Agrin,A2ASQ1,AGRIN_MOUSE,UP000000589_mouse_reviewed_can_220920,187235.5156,172956.7969,176635.5313,206342.25,196372.2813,192344.7031,185296.1719,216394.9844,216723.7969,210740.7969,196546.8594
A2ASS6,A2ASS6,Ttn,Titin,A2ASS6,TITIN_MOUSE,UP000000589_mouse_reviewed_can_220920,17107838,20471706,18823106,16831820,21164980,20412592,19177900,20483874,15060256,21693088,20247734
A2AUC9,A2AUC9,Klhl41,Kelch-like protein 41,A2AUC9,KLH41_MOUSE,UP000000589_mouse_reviewed_can_220920,605348.3125,590411.3125,615016.25,616722.625,581095.3125,732318.25,693082.5,624693.625,561357.1875,559774.625,637489.8125
A2AWA9,A2AWA9,Rabgap1,Rab GTPase-activating protein 1,A2AWA9,RBGP1_MOUSE,UP000000589_mouse_reviewed_can_220920,14435.59473,15065.34277,13548.33984,14201.81348,11837.73242,13101.27734,13411.44434,11950.80078,14087.94238,10937.21484,10307.6084
A2AWP8,A2AWP8,Arhgef10l,Rho guanine nucleotide exchange factor 10-like protein,A2AWP8,ARGAL_MOUSE,UP000000589_mouse_reviewed_can_220920,4891.534668,1270.087646,4551.288086,3501.517334,1204.650635,6542.158691,4112.180176,7633.311035,1177.298584,1078.972656,2744.405762
A2BDX3,A2BDX3,Mocs3,Adenylyltransferase and sulfurtransferase MOCS3,A2BDX3,MOCS3_MOUSE,UP000000589_mouse_reviewed_can_220920,322392.4063,461165.3438,698280.4375,576813.25,687213.1875,684825.8125,597991.5625,631311.8125,666472,436298.9688,437705.9063
A2RT91,A2RT91,Ankar,Ankyrin and armadillo repeat-containing protein,A2RT91,ANKAR_MOUSE,UP000000589_mouse_reviewed_can_220920,232070.2188,258627.4063,235153.2031,194184.6563,251723.8125,207772.9844,198988.4219,166921.1563,338847.4063,125430.7969,242332.1875
A2RTL5,A2RTL5,Rsrc2,Arginine/serine-rich coiled-coil protein 2,A2RTL5,RSRC2_MOUSE,UP000000589_mouse_reviewed_can_220920,4901.637207,5208.022461,4845.901855,5857.921875,5467.220215,6908.013672,6160.329102,5094.506348,7896.358887,4242.294434,2707.655273
A3KFX0,A3KFX0,Nt5c1a,Cytosolic 5'-nucleotidase 1A,A3KFX0,5NT1A_MOUSE,UP000000589_mouse_reviewed_can_220920,57482.91016,55485.69141,46010.27344,50531.17969,51399.46875,66591.84375,70776.01563,54632.86328,49915,45182.21484,60043.55469
A3KG59,A3KG59,Pm20d2,Xaa-Arg dipeptidase,A3KG59,P20D2_MOUSE,UP000000589_mouse_reviewed_can_220920,3409253.75,3264524,3451825.75,3256272.25,3310472.75,2919169.5,2308981,2454835.25,2503464,2690583.5,2321509.5
