group_id	items_in_group	lo_value	p	FDR	goodsgrna
MTHFR	10	9.3571e-18	2.5165e-07	0.000309	10
UTY	10	1.0097e-09	2.5165e-07	0.000309	10
CDY1B	10	1.3711e-09	2.5165e-07	0.000309	10
CDY1	10	1.3711e-09	2.5165e-07	0.000309	10
LMO4	10	6.5295e-09	2.5165e-07	0.000309	10
RAD51AP1	10	1.0633e-08	2.5165e-07	0.000309	10
IFNE	10	1.2238e-08	2.5165e-07	0.000309	9
IFNA4	10	2.4888e-08	2.5165e-07	0.000309	9
NPRL2	10	3.9854e-08	2.5165e-07	0.000309	8
YWHAE	10	6.4821e-08	2.5165e-07	0.000309	9
SPRED1	10	9.9115e-08	2.5165e-07	0.000309	10
IFNA21	10	1.1931e-07	2.5165e-07	0.000309	10
IFNA16	10	2.7307e-07	2.5165e-07	0.000309	9
UBE4B	10	3.2595e-07	2.5165e-07	0.000309	8
JKAMP	10	3.4696e-07	2.5165e-07	0.000309	10
DDX3Y	10	3.5038e-07	2.5165e-07	0.000309	9
RHBDD1	10	4.0319e-07	7.5496e-07	0.000874	10
SLC35G2	10	6.0401e-07	2.2649e-06	0.002475	10
HMSD	10	7.4756e-07	3.2715e-06	0.003387	10
MAGEA6	10	8.8161e-07	3.7748e-06	0.003713	10
ZNF468	10	1.0127e-06	6.2913e-06	0.005893	10
IFNA7	10	1.0517e-06	7.2979e-06	0.005982	10
SLAIN1	10	1.0628e-06	7.2979e-06	0.005982	10
LCORL	10	1.0813e-06	7.2979e-06	0.005982	9
KLHL9	10	1.1947e-06	7.8012e-06	0.006139	9
GADL1	10	1.2790e-06	9.3111e-06	0.006895	8
SLC1A1	10	1.3277e-06	9.8144e-06	0.006895	8
DEPDC5	10	1.3547e-06	9.8144e-06	0.006895	9
PHOX2B	10	1.5762e-06	1.0821e-05	0.006962	9
SPINK13	10	1.6045e-06	1.0821e-05	0.006962	10
MUC7	10	1.6192e-06	1.1324e-05	0.006962	8
PDHB	10	1.6963e-06	1.1324e-05	0.006962	9
FOCAD	10	1.7568e-06	1.1828e-05	0.007051	9
IDNK	10	1.8550e-06	1.3338e-05	0.007717	9
ZNF440	10	1.9036e-06	1.3841e-05	0.007779	10
INPP5A	10	1.9550e-06	1.4596e-05	0.007894	10
UBE2NL	10	1.9584e-06	1.4847e-05	0.007894	8
TMPRSS11F	10	2.4291e-06	1.8371e-05	0.009510	9
GSTM1	10	2.6283e-06	1.9377e-05	0.009774	9
C9orf135	10	2.7671e-06	2.0384e-05	0.010025	9
C10orf76	10	3.0206e-06	2.3907e-05	0.010671	9
IFNA17	10	3.0214e-06	2.3907e-05	0.010671	9
BPY2B	10	3.0476e-06	2.4410e-05	0.010671	8
BPY2C	10	3.0476e-06	2.4410e-05	0.010671	8
BPY2	10	3.0476e-06	2.4410e-05	0.010671	8
SLC19A3	10	3.5090e-06	2.9443e-05	0.012479	9
RPS4Y1	10	3.5344e-06	2.9947e-05	0.012479	9
IFNB1	10	3.6878e-06	3.0450e-05	0.012479	9
PI4K2B	10	4.2077e-06	3.3973e-05	0.013639	10
F9	10	4.3275e-06	3.4980e-05	0.013687	9
UBE2G1	10	4.3761e-06	3.5483e-05	0.013687	10
RNF141	10	4.4455e-06	3.6993e-05	0.013995	9
EIF1AY	10	4.5562e-06	3.9509e-05	0.014665	7
SLC25A14	10	4.6794e-06	4.0516e-05	0.014760	10
ZNF679	10	4.8656e-06	4.2529e-05	0.015212	8
RAD51AP2	10	5.8343e-06	5.1085e-05	0.017804	9
ZNF562	10	5.9565e-06	5.1589e-05	0.017804	9
CPB2	10	6.7747e-06	5.5615e-05	0.018543	9
RAI2	10	6.8586e-06	5.5615e-05	0.018543	10
SRY	10	7.7444e-06	6.2661e-05	0.020545	9
TMPRSS11B	10	8.2296e-06	6.7191e-05	0.021669	8
STATH	10	8.3700e-06	6.8701e-05	0.021798	8
SGCZ	10	9.1126e-06	7.6251e-05	0.023078	10
FAM200B	10	9.2454e-06	7.7257e-05	0.023078	10
IFNW1	10	9.2501e-06	7.7257e-05	0.023078	7
ANXA1	10	9.4314e-06	7.8264e-05	0.023078	8
C18orf42	10	9.6467e-06	7.9270e-05	0.023078	9
MAOA	10	9.8806e-06	7.9774e-05	0.023078	9
SPANXN4	10	1.0483e-05	8.5813e-05	0.024257	8
RPS4Y2	10	1.0590e-05	8.6317e-05	0.024257	10
C20orf197	10	1.1187e-05	8.9336e-05	0.024752	9
FAM133A	10	1.2267e-05	9.5376e-05	0.025756	8
PRMT10	10	1.2344e-05	9.5879e-05	0.025756	10
PID1	10	1.2476e-05	9.6886e-05	0.025756	9
CSN3	10	1.3272e-05	1.0695e-04	0.027548	9
C4orf45	10	1.3546e-05	1.1048e-04	0.027548	10
CAB39L	10	1.3573e-05	1.1048e-04	0.027548	10
IL5RA	10	1.3578e-05	1.1048e-04	0.027548	10
C1QTNF7	10	1.3627e-05	1.1098e-04	0.027548	9
TMEM185A	10	1.3795e-05	1.1249e-04	0.027548	9
OCRL	10	1.4170e-05	1.1752e-04	0.027548	9
DLAT	10	1.4177e-05	1.1752e-04	0.027548	8
CXorf61	10	1.4250e-05	1.1802e-04	0.027548	9
C14orf1	10	1.4305e-05	1.1903e-04	0.027548	8
RBM11	10	1.4307e-05	1.1903e-04	0.027548	10
ABLIM2	10	1.6594e-05	1.4067e-04	0.032150	7
IL33	10	1.6720e-05	1.4218e-04	0.032150	9
NAA10	10	1.7627e-05	1.5074e-04	0.033697	10
ACSM2B	10	1.8176e-05	1.5527e-04	0.034048	9
PDLIM5	10	1.8248e-05	1.5577e-04	0.034048	10
NPY1R	10	1.8627e-05	1.5930e-04	0.034277	10
GLRB	10	1.8695e-05	1.6030e-04	0.034277	9
ZNF148	10	1.8994e-05	1.6232e-04	0.034334	9
TMEM207	10	1.9276e-05	1.6433e-04	0.034390	8
STRC	10	1.9923e-05	1.6936e-04	0.035070	7
YIPF7	10	2.0666e-05	1.7691e-04	0.035198	9
IFNK	10	2.0797e-05	1.7792e-04	0.035198	9
C3orf52	10	2.0848e-05	1.7792e-04	0.035198	9
TBC1D24	10	2.1237e-05	1.7842e-04	0.035198	5
FCRL1	10	2.1329e-05	1.7892e-04	0.035198	10
NADK	10	2.2433e-05	1.8547e-04	0.036124	7
PDHA1	10	2.3795e-05	1.9604e-04	0.037808	9
TLE3	10	2.4284e-05	1.9931e-04	0.038066	6
DOCK8	10	2.5191e-05	2.0862e-04	0.039274	8
BRD1	10	2.5341e-05	2.0963e-04	0.039274	8
ENAM	10	2.5571e-05	2.1214e-04	0.039370	10
ZFP82	10	2.6270e-05	2.1768e-04	0.039833	9
SLC6A14	10	2.6601e-05	2.1869e-04	0.039833	9
C8orf48	10	2.7183e-05	2.2171e-04	0.040005	10
C11orf1	10	2.7649e-05	2.2523e-04	0.040005	8
IFI27	10	2.7679e-05	2.2573e-04	0.040005	7
ERCC6L2	10	2.8237e-05	2.3177e-04	0.040436	10
GIMAP4	10	2.8510e-05	2.3227e-04	0.040436	7
SLC38A6	10	2.8928e-05	2.3680e-04	0.040594	9
ASIC5	10	2.9060e-05	2.3731e-04	0.040594	10
PACRGL	10	2.9474e-05	2.4284e-04	0.041183	9
PROL1	10	2.9912e-05	2.4687e-04	0.041508	10
SYTL5	10	3.1092e-05	2.5442e-04	0.042415	8
ARL6	10	3.1607e-05	2.5845e-04	0.042533	9
CLEC3A	10	3.1726e-05	2.5945e-04	0.042533	9
SLFN12	10	3.2032e-05	2.6247e-04	0.042672	9
SERPINB4	10	3.2676e-05	2.6700e-04	0.042997	10
CASP2	10	3.3161e-05	2.6952e-04	0.042997	10
CD1E	10	3.3847e-05	2.7707e-04	0.043604	10
OPN1LW	10	3.4933e-05	2.9267e-04	0.045694	7
TLE1	10	3.6562e-05	3.0425e-04	0.046192	10
SPINT3	10	3.6581e-05	3.0425e-04	0.046192	8
ZNF639	10	3.7218e-05	3.0928e-04	0.046192	9
GUF1	10	3.7250e-05	3.0928e-04	0.046192	9
ZNF286A	10	3.7502e-05	3.1129e-04	0.046192	8
ZNF845	10	3.7571e-05	3.1129e-04	0.046192	10
USP46	10	3.7699e-05	3.1230e-04	0.046192	9
C17orf112	10	3.8948e-05	3.2136e-04	0.047048	8
PTPLAD2	10	3.9006e-05	3.2287e-04	0.047048	9
CCL8	10	3.9253e-05	3.2539e-04	0.047066	9
NPS	10	3.9831e-05	3.3193e-04	0.047455	9
DNAH12	10	4.0218e-05	3.3495e-04	0.047455	9
WFDC13	10	4.0440e-05	3.3747e-04	0.047455	8
FSTL5	10	4.0863e-05	3.4300e-04	0.047455	9
CDR1	10	4.0988e-05	3.4451e-04	0.047455	9
PIBF1	10	4.1883e-05	3.5407e-04	0.047455	9
CDY2B	10	4.2327e-05	3.5810e-04	0.047455	9
CDY2A	10	4.2327e-05	3.5810e-04	0.047455	9
CMC1	9	4.2825e-05	3.4652e-04	0.047455	7
RBBP7	10	4.3124e-05	3.6515e-04	0.047455	10
BMX	10	4.3943e-05	3.6968e-04	0.047455	7
CLRN2	10	4.3950e-05	3.6968e-04	0.047455	9
FAM175B	10	4.3979e-05	3.6968e-04	0.047455	10
C4orf33	10	4.4342e-05	3.7219e-04	0.047455	8
POF1B	10	4.4573e-05	3.7270e-04	0.047455	10
TBC1D14	10	4.4924e-05	3.7572e-04	0.047455	9
SH3BGRL	10	4.5551e-05	3.7723e-04	0.047455	9
C13orf35	10	4.5745e-05	3.7773e-04	0.047455	9
CARD18	10	4.5833e-05	3.7874e-04	0.047455	9
SLC5A12	10	4.6757e-05	3.8679e-04	0.047752	8
NSG1	10	4.6803e-05	3.8780e-04	0.047752	6
SOX21	10	4.6878e-05	3.8880e-04	0.047752	9
ZNF808	10	4.7378e-05	3.9082e-04	0.047752	7
CABS1	10	4.8152e-05	3.9786e-04	0.048061	8
ZNF645	10	4.8398e-05	3.9937e-04	0.048061	10
TMEM244	10	4.9196e-05	4.0591e-04	0.048061	7
XG	10	4.9199e-05	4.0591e-04	0.048061	10
CGRRF1	10	4.9567e-05	4.0893e-04	0.048061	10
