group_id	items_in_group	lo_value	p	FDR	goodsgrna
FAM208A	10	1.3207e-23	2.5166e-07	0.000190	10
APPBP2	10	2.6689e-19	2.5166e-07	0.000190	10
KCTD5	10	2.4458e-18	2.5166e-07	0.000190	10
MORC2	10	8.2744e-16	2.5166e-07	0.000190	10
ATF7IP	10	3.6309e-15	2.5166e-07	0.000190	10
PPHLN1	10	7.0118e-15	2.5166e-07	0.000190	10
SENP1	10	1.0856e-13	2.5166e-07	0.000190	10
MPHOSPH8	10	1.6166e-12	2.5166e-07	0.000190	10
DCP2	10	7.2611e-11	2.5166e-07	0.000190	9
MGA	10	2.4499e-10	2.5166e-07	0.000190	9
PTEN	10	2.6192e-10	2.5166e-07	0.000190	8
SETDB1	10	5.1999e-10	2.5166e-07	0.000190	10
RB1	10	8.7910e-10	2.5166e-07	0.000190	9
CNOT7	10	1.8213e-09	2.5166e-07	0.000190	10
ERP44	10	2.4932e-09	2.5166e-07	0.000190	8
PANK4	10	6.0913e-09	2.5166e-07	0.000190	6
FAM49B	10	1.2426e-08	2.5166e-07	0.000190	10
OTUD5	10	1.2971e-08	2.5166e-07	0.000190	9
HES1	10	1.3945e-08	2.5166e-07	0.000190	9
HIF1A	10	1.6858e-08	2.5166e-07	0.000190	10
CCAR1	10	1.6969e-08	2.5166e-07	0.000190	9
UBR5	10	8.0862e-08	2.5166e-07	0.000190	9
AMBRA1	10	8.8721e-08	2.5166e-07	0.000190	9
RASA2	10	1.5781e-07	2.5166e-07	0.000190	8
PAG1	10	2.0655e-07	2.5166e-07	0.000190	10
C18orf8	10	2.9454e-07	2.5166e-07	0.000190	9
ATG3	10	4.9670e-07	1.2583e-06	0.000917	6
PRDM15	9	5.5745e-07	4.2783e-06	0.002805	7
SAMD4B	10	5.6461e-07	2.2650e-06	0.001591	7
NOL4	10	1.1150e-06	7.2983e-06	0.004631	10
SLN	4	1.1428e-06	3.2716e-06	0.002219	4
ZMYM2	10	1.4749e-06	1.0318e-05	0.006261	9
PAK2	10	1.5082e-06	1.0822e-05	0.006261	7
EPC1	10	1.5615e-06	1.0822e-05	0.006261	9
RCOR1	9	1.6873e-06	1.3842e-05	0.007779	8
INSL6	10	2.3720e-06	1.8372e-05	0.010039	8
ASB7	10	3.0836e-06	2.4915e-05	0.013246	9
UBE2F	10	3.1320e-06	2.5670e-05	0.013288	10
CNOT8	10	3.2760e-06	2.7431e-05	0.013738	8
SPOP	10	3.3896e-06	2.7935e-05	0.013738	10
HMG20A	10	3.7441e-06	3.0955e-05	0.014621	10
KIAA1551	10	3.9094e-06	3.1961e-05	0.014621	9
DGKD	10	3.9347e-06	3.1961e-05	0.014621	8
DIS3L2	10	4.1153e-06	3.2968e-05	0.014739	9
ZBTB33	10	4.9366e-06	4.4041e-05	0.019252	10
ANKRD17	10	5.9907e-06	5.1591e-05	0.022062	7
DUSP7	10	6.1886e-06	5.4108e-05	0.022380	6
ACE2	10	6.4282e-06	5.4611e-05	0.022380	10
ZNF669	10	7.0562e-06	5.6876e-05	0.022833	9
