group_id	items_in_group	lo_value	p	FDR	goodsgrna
EIF2S1	10	1.9023e-13	2.5166e-07	0.000014	10
GTF2B	10	2.5711e-13	2.5166e-07	0.000014	10
PSMA6	10	8.0672e-13	2.5166e-07	0.000014	10
GPN3	10	8.7882e-13	2.5166e-07	0.000014	10
RPL3	10	9.2552e-13	2.5166e-07	0.000014	10
RPL23A	10	1.4315e-12	2.5166e-07	0.000014	10
ATP6V1A	10	2.8221e-12	2.5166e-07	0.000014	10
POLR1B	10	3.9584e-12	2.5166e-07	0.000014	10
IARS	10	6.6141e-12	2.5166e-07	0.000014	10
EP300	10	7.5407e-12	2.5166e-07	0.000014	10
SNRPD3	10	8.6532e-12	2.5166e-07	0.000014	9
HSPA9	9	9.6076e-12	2.5166e-07	0.000014	9
SNRPD1	10	1.0210e-11	2.5166e-07	0.000014	10
MCM2	10	1.0478e-11	2.5166e-07	0.000014	10
EFTUD2	10	1.6514e-11	2.5166e-07	0.000014	10
CDC73	10	1.6758e-11	2.5166e-07	0.000014	10
RPL18A	10	1.9188e-11	2.5166e-07	0.000014	10
TXNL4A	10	2.3107e-11	2.5166e-07	0.000014	10
SMU1	9	2.5156e-11	2.5166e-07	0.000014	9
SNRNP200	10	2.6079e-11	2.5166e-07	0.000014	9
XPO1	10	2.9072e-11	2.5166e-07	0.000014	10
SRSF2	10	3.0015e-11	2.5166e-07	0.000014	10
EIF3G	10	3.2122e-11	2.5166e-07	0.000014	10
RPL8	10	3.2329e-11	2.5166e-07	0.000014	9
DDX20	10	3.3608e-11	2.5166e-07	0.000014	10
TRMT112	10	3.6453e-11	2.5166e-07	0.000014	10
PSMB4	10	5.7115e-11	2.5166e-07	0.000014	10
EIF4A3	10	5.8198e-11	2.5166e-07	0.000014	10
CFL1	10	6.4080e-11	2.5166e-07	0.000014	10
PSMC4	10	6.4341e-11	2.5166e-07	0.000014	10
TSR2	10	7.7700e-11	2.5166e-07	0.000014	10
SCD	10	8.0817e-11	2.5166e-07	0.000014	10
EBF1	10	8.5842e-11	2.5166e-07	0.000014	10
PSMA7	10	9.8499e-11	2.5166e-07	0.000014	10
RPS15	10	1.1025e-10	2.5166e-07	0.000014	9
DDX46	10	1.1387e-10	2.5166e-07	0.000014	10
NARS	10	1.1387e-10	2.5166e-07	0.000014	10
NUP133	10	1.1683e-10	2.5166e-07	0.000014	10
TFRC	10	1.2577e-10	2.5166e-07	0.000014	10
RPL24	10	1.7275e-10	2.5166e-07	0.000014	8
POLR2J3	10	1.7856e-10	2.5166e-07	0.000014	10
POLR2J	10	1.7856e-10	2.5166e-07	0.000014	9
RPL7A	10	1.9707e-10	2.5166e-07	0.000014	10
RPL15	10	1.9903e-10	2.5166e-07	0.000014	9
POU2AF1	10	1.9986e-10	2.5166e-07	0.000014	10
RPS13	10	2.1458e-10	2.5166e-07	0.000014	9
RBX1	10	2.2739e-10	2.5166e-07	0.000014	10
NUTF2	10	2.4240e-10	2.5166e-07	0.000014	9
UBL5	10	2.4415e-10	2.5166e-07	0.000014	9
PSMC5	10	2.5020e-10	2.5166e-07	0.000014	9
KIF11	10	2.5159e-10	2.5166e-07	0.000014	10
POLR2H	10	2.9308e-10	2.5166e-07	0.000014	10
NDC80	10	3.1096e-10	2.5166e-07	0.000014	10
PRPF19	10	3.5339e-10	2.5166e-07	0.000014	10
POLR2L	10	3.6286e-10	2.5166e-07	0.000014	9
RRM1	10	3.7245e-10	2.5166e-07	0.000014	9
RPS3A	10	3.8806e-10	2.5166e-07	0.000014	9
RNGTT	10	3.8962e-10	2.5166e-07	0.000014	10
RUVBL2	10	4.0572e-10	2.5166e-07	0.000014	10
BRF2	10	4.1879e-10	2.5166e-07	0.000014	10
ATP6V0B	10	4.2680e-10	2.5166e-07	0.000014	10
ATP6V1B2	10	4.3587e-10	2.5166e-07	0.000014	10
RCC1	10	4.4807e-10	2.5166e-07	0.000014	10
POLE	10	4.6951e-10	2.5166e-07	0.000014	10
CDC45	10	5.2191e-10	2.5166e-07	0.000014	10
LSM3	10	5.5030e-10	2.5166e-07	0.000014	9
WEE1	10	6.2082e-10	2.5166e-07	0.000014	10
VCP	10	6.3983e-10	2.5166e-07	0.000014	10
PCNA	10	7.2700e-10	2.5166e-07	0.000014	9
PSMA1	10	8.4042e-10	2.5166e-07	0.000014	9
NPLOC4	10	9.2311e-10	2.5166e-07	0.000014	10
LRR1	10	9.6032e-10	2.5166e-07	0.000014	10
RPS9	10	9.7037e-10	2.5166e-07	0.000014	9
ATP6V1D	10	9.9636e-10	2.5166e-07	0.000014	9
PLK1	10	1.0843e-09	2.5166e-07	0.000014	10
GINS3	10	1.0925e-09	2.5166e-07	0.000014	10
RPS12	10	1.1421e-09	2.5166e-07	0.000014	8
ATP2A2	10	1.2695e-09	2.5166e-07	0.000014	10
PHB2	10	1.2996e-09	2.5166e-07	0.000014	9
SMN1	10	1.3074e-09	2.5166e-07	0.000014	8
SMN2	10	1.3074e-09	2.5166e-07	0.000014	8
GINS4	10	1.3439e-09	2.5166e-07	0.000014	10
RPS6	10	1.4792e-09	2.5166e-07	0.000014	10
NHP2L1	10	1.6381e-09	2.5166e-07	0.000014	10
PRIM1	10	1.6746e-09	2.5166e-07	0.000014	10
RABGGTB	10	2.0435e-09	2.5166e-07	0.000014	10
GINS2	10	2.1244e-09	2.5166e-07	0.000014	10
HNRNPK	10	2.1974e-09	2.5166e-07	0.000014	10
POLA1	10	2.4577e-09	2.5166e-07	0.000014	10
NAA10	10	2.6498e-09	2.5166e-07	0.000014	9
POLR2A	10	2.6681e-09	2.5166e-07	0.000014	10
RPL14	10	2.9090e-09	2.5166e-07	0.000014	9
CTR9	10	2.9833e-09	2.5166e-07	0.000014	10
CLP1	10	3.1822e-09	2.5166e-07	0.000014	10
PPP4C	10	3.2432e-09	2.5166e-07	0.000014	9
CCT3	10	3.2568e-09	2.5166e-07	0.000014	10
GPN2	10	3.4148e-09	2.5166e-07	0.000014	10
PSMD12	10	3.4245e-09	2.5166e-07	0.000014	10
ETF1	10	3.5140e-09	2.5166e-07	0.000014	9
TONSL	10	3.5705e-09	2.5166e-07	0.000014	10
COPB1	10	3.5950e-09	2.5166e-07	0.000014	10
PHB	10	3.6943e-09	2.5166e-07	0.000014	8
DDX56	10	3.7429e-09	2.5166e-07	0.000014	10
PAFAH1B1	10	3.9054e-09	2.5166e-07	0.000014	10
SNRNP70	10	3.9054e-09	2.5166e-07	0.000014	10
RPS23	10	3.9877e-09	2.5166e-07	0.000014	9
PSMA2	10	4.0536e-09	2.5166e-07	0.000014	9
RPS28	10	4.1706e-09	2.5166e-07	0.000014	9
RPL10	10	4.1844e-09	2.5166e-07	0.000014	9
IPO13	10	4.5928e-09	2.5166e-07	0.000014	10
PSMB3	10	4.6038e-09	2.5166e-07	0.000014	10
ATP6V0C	10	4.6307e-09	2.5166e-07	0.000014	10
RPL32	10	4.8027e-09	2.5166e-07	0.000014	10
SNRPF	10	4.8027e-09	2.5166e-07	0.000014	10
THOC7	10	4.8893e-09	2.5166e-07	0.000014	10
ANAPC11	10	5.2993e-09	2.5166e-07	0.000014	10
GAPDH	10	5.4025e-09	2.5166e-07	0.000014	8
DNM2	9	5.4590e-09	2.5166e-07	0.000014	9
RRAGC	10	5.5455e-09	2.5166e-07	0.000014	10
GEMIN5	10	5.7905e-09	2.5166e-07	0.000014	9
CCDC94	10	5.8175e-09	2.5166e-07	0.000014	10
RPL35	10	6.2186e-09	2.5166e-07	0.000014	10
DPAGT1	10	6.2209e-09	2.5166e-07	0.000014	10
GTF3C1	10	6.2209e-09	2.5166e-07	0.000014	10
SF1	10	6.3057e-09	2.5166e-07	0.000014	9
ATP6AP2	10	6.6192e-09	2.5166e-07	0.000014	10
TTC27	10	6.8331e-09	2.5166e-07	0.000014	10
VPS37A	10	7.1401e-09	2.5166e-07	0.000014	10
VARS	10	7.4641e-09	2.5166e-07	0.000014	10
CCT5	10	7.6327e-09	2.5166e-07	0.000014	10
RPL23	10	7.8335e-09	2.5166e-07	0.000014	9
RBBP6	10	8.1158e-09	2.5166e-07	0.000014	10
LAMTOR2	10	8.2156e-09	2.5166e-07	0.000014	9
RPLP0	10	8.6955e-09	2.5166e-07	0.000014	9
PRPF6	10	8.7407e-09	2.5166e-07	0.000014	10
SF3B3	10	9.1744e-09	2.5166e-07	0.000014	9
RPSA	10	9.5780e-09	2.5166e-07	0.000014	9
RPS5	10	1.0001e-08	2.5166e-07	0.000014	10
FBXW11	10	1.1006e-08	2.5166e-07	0.000014	9
POLR3C	10	1.1476e-08	2.5166e-07	0.000014	10
VPS18	10	1.1485e-08	2.5166e-07	0.000014	10
EXOSC6	10	1.1607e-08	2.5166e-07	0.000014	10
PSMD2	10	1.1700e-08	2.5166e-07	0.000014	9
HSPA5	10	1.2471e-08	2.5166e-07	0.000014	10
TMX2	10	1.2471e-08	2.5166e-07	0.000014	10
RPS14	10	1.2700e-08	2.5166e-07	0.000014	10
WDR3	10	1.3066e-08	2.5166e-07	0.000014	10
CDC123	10	1.3132e-08	2.5166e-07	0.000014	9
BUD31	10	1.3698e-08	2.5166e-07	0.000014	9
MRPL38	10	1.4334e-08	2.5166e-07	0.000014	10
MEF2B	10	1.4383e-08	2.5166e-07	0.000014	10
PSMG3	10	1.4507e-08	2.5166e-07	0.000014	8
XAB2	10	1.4747e-08	2.5166e-07	0.000014	10
HSPE1	9	1.6103e-08	2.5166e-07	0.000014	8
HTATSF1	10	1.6577e-08	2.5166e-07	0.000014	10
POLR2C	10	1.6850e-08	2.5166e-07	0.000014	10
TFIP11	10	1.7182e-08	2.5166e-07	0.000014	10
TBC1D3C	10	1.8345e-08	2.5166e-07	0.000014	9
IKBKB	10	1.9235e-08	2.5166e-07	0.000014	9
RBM25	10	1.9379e-08	2.5166e-07	0.000014	10
WDR7	10	1.9702e-08	2.5166e-07	0.000014	10
GTF2E2	10	1.9805e-08	2.5166e-07	0.000014	10
DHX8	10	2.0306e-08	2.5166e-07	0.000014	9
RPL36	10	2.0625e-08	2.5166e-07	0.000014	10
QARS	10	2.1105e-08	2.5166e-07	0.000014	10
COPE	10	2.1141e-08	2.5166e-07	0.000014	10
CDC27	10	2.1327e-08	2.5166e-07	0.000014	8
KARS	10	2.1403e-08	2.5166e-07	0.000014	10
VPS29	10	2.1483e-08	2.5166e-07	0.000014	10
SPI1	10	2.1688e-08	2.5166e-07	0.000014	10
KPNB1	10	2.2274e-08	2.5166e-07	0.000014	10
LSM2	10	2.2306e-08	2.5166e-07	0.000014	9
RPS11	10	2.2472e-08	2.5166e-07	0.000014	10
SEC61A1	10	2.3513e-08	2.5166e-07	0.000014	9
RPL6	10	2.3698e-08	2.5166e-07	0.000014	9
MRPL34	10	2.3810e-08	2.5166e-07	0.000014	10
INO80	10	2.3810e-08	2.5166e-07	0.000014	10
RPAP1	10	2.4248e-08	2.5166e-07	0.000014	10
RPL17	9	2.4581e-08	2.5166e-07	0.000014	6
IPO11	10	2.4596e-08	2.5166e-07	0.000014	10
PHF5A	10	2.4644e-08	2.5166e-07	0.000014	10
