OBJECTID,TYPE,MATERIAL,WIDTH,LIMITS,TYPE2,NAME,ENTITY_TRA,TYPE_3,PAVED,MILEAGE,Shape__Length
1,Designated,Asphalt,10, ,Asphalt Trail,Boxer's Trail,PPR,Trail,N,0.03920378,82.3028336144802
2,Designated,Asphalt,10, ,Asphalt Trail,Boxer's Trail,PPR,Trail,Y,0.06350004,133.366700377672
3,Designated,Asphalt,10, ,Asphalt Trail,Boxer's Trail,PPR,Trail,Y,0.08238775,173.161161406805
4,Designated,Asphalt,10, ,Asphalt Trail,Boxer's Trail,PPR,Trail,Y,0.1206988,253.285506381974
5,Designated,Asphalt,10, ,Asphalt Trail,Boxer's Trail,PPR,Trail,Y,0.23715562,499.294384708789
6,Designated,Asphalt,10, ,Asphalt Trail,Boxer's Trail,PPR,Trail,Y,0.01070881,22.5354737263879
7,Designated,Asphalt,10, ,Asphalt Trail,Boxer's Trail,PPR,Trail,Y,0.65407164,1373.73321996218
8,Designated,Asphalt,10, ,Asphalt Trail,Centennial Loop,PPR,Trail,Y,0.01646264,34.5616643740582
9,Designated,Asphalt,10, ,Asphalt Trail,Centennial Loop,PPR,Trail,Y,0.19906215,418.174077746979
10,Designated,Asphalt,10, ,Asphalt Trail,Centennial Loop,PPR,Trail,Y,0.00694198,14.5865241694991
11,Designated,Asphalt,10, ,Asphalt Trail,Centennial Loop,PPR,Trail,Y,0.4401574,924.906355013817
12,Designated,Asphalt,10, ,Asphalt Trail,Centennial Loop,PPR,Trail,Y,0.15901298,333.739167849536
13,Designated,Asphalt,10, ,Asphalt Trail,Centennial Loop,PPR,Trail,Y,0.0908885,191.214608646527
14,Designated,Asphalt,10, ,Asphalt Trail,Centennial Loop,PPR,Trail,Y,0.25460531,534.389925112107
15,Designated,Asphalt,10, ,Asphalt Trail,Centennial Loop,PPR,Trail,Y,0.10504468,220.375980558694
16,Designated,Asphalt,10, ,Asphalt Trail,Centennial Loop,PPR,Trail,Y,0.18067953,379.434112663086
17,Designated,Asphalt,10, ,Asphalt Trail,Centennial Loop,PPR,Trail,Y,0.03524503,74.2079327755968
18,Designated,Asphalt,10, ,Asphalt Trail,Centennial Loop,PPR,Trail,Y,0.32877298,690.512004297739
19,Designated,Asphalt,10, ,Asphalt Trail,Centennial Loop,PPR,Trail,Y,0.01465641,30.8581209214741
20,Designated,Asphalt,10, ,Asphalt Trail,Centennial Loop,PPR,Trail,Y,0.14233191,299.656087809053
21,Designated,Asphalt,10, ,Asphalt Trail,Centennial Loop,PPR,Trail,Y,0.0324633,68.1860483310386
22,Designated,Asphalt,10, ,Asphalt Trail,Centennial Loop,PPR,Trail,Y,0.03060031,64.3415823248544
23,Designated,Asphalt,10, ,Asphalt Trail,Centennial Loop,PPR,Trail,Y,0.05802473,122.16469713894
24,Designated,Asphalt,10, ,Asphalt Trail,Centennial Loop,PPR,Trail,Y,0.12807389,268.653115197898
25,Designated,Asphalt,0, ,Asphalt Sidepath,58th Street Greenway,Streets,Sidepath, ,0.71965644,1511.53113229638
26,Designated,Asphalt,0, ,Asphalt Sidepath,Navy Yard Path,PIDC,Sidepath,Y,1.40979897,2953.65076804081
27,Designated,Asphalt,0, ,Asphalt Trail,Bartram's Trail,Bartram's,Trail, ,0.31860357,668.617719608575
28,Designated,Asphalt,0, ,Asphalt Trail,Fluehr Park Trail,PPR,Trail,Y,0.86790545,1825.56347697081
29,Designated,Asphalt,0, ,Asphalt Trail,Northeast Airport Trail,PHL NE Airport,Trail,Y,4.1243031,8680.48965610791
30,Designated,Asphalt,0, ,Asphalt Trail,Pennypack Trail/Lorimer Trail,Mont Co?,Outside Philly Trail,Y,0.00041489,0.87303280977976
