name	address	postal_code	stars	review_count	Categories
Morton's The Steakhouse     	1411 Walnut St	19102	3.5	149	American
Jasmine Rice - Rittenhouse    	306 S 16th St	19102	3.5	307	SE Asian
R2L       	50 S 16th St, Fl 37	19102	3.5	787	American
500 Degrees      	1504 Sansom St	19102	3.5	443	American
Sansom Kabob House     	1526 Sansom St	19102	4.0	128	Middle Eastern
Marathon       	121 S 16th St	19102	3.5	593	American
Cinder Copper & Lace    	1500 Locust St	19102	3.5	157	Italian
Good Dog Bar     	224 S 15th St	19102	4.0	1279	American
Mi Lah Vegetarian     	218 S 16th St	19102	3.5	213	American
Aqimero       	10 Avenue Of The Arts	19102	3.5	143	American
Butcher and Singer     	1500 Walnut St	19102	4.5	1290	American
Harp & Crown     	1525 Sansom St	19102	4.0	912	American
Mission Taqueria      	1516 Sansom St, Fl 2	19102	4.0	617	Mexican
Misconduct Tavern      	1511 Locust St	19102	3.5	396	American
&pizza - Walnut     	430 Walnut St	19102	4.5	364	European
La Viola Ovest     	252 S 16th St	19102	3.5	209	Italian
Nodding Head Brewery & Restaurant   	1516 Sansom St, 2nd Floor	19102	3.5	339	American
Amuse       	1421 Arch St	19102	3.5	154	European
La Viola      	253 S 16th St, Apt 1	19102	3.5	524	Italian
Jose Pistola's      	263 S 15th St	19102	3.5	488	Mexican
Elixr Coffee Roasters     	207 S Sydenham St	19102	4.5	810	Bakery
Russet       	1521 Spruce St	19102	3.5	269	Italian
Amma's South Indian Cuisine    	1518 Chestnut St	19102	4.0	301	Indian
NYPD Pizza      	140 S 11th St	19102	3.5	198	European
Locust Rendezvous      	1415 Locust St	19102	4.0	230	American
The Palm Philadelphia     	200 S Broad St	19102	3.5	205	Italian
XIX Nineteen      	200 S Broad St, Fl 19	19102	3.5	611	American
Goldie       	1526 Sansom St	19102	4.5	514	Middle Eastern
Giovani's Bar & Grill    	1533 Chestnut St	19102	4.0	215	Italian
The Rooster      	1526 Sansom St	19102	4.5	266	American
Joe's Pizza      	122 S 16th St	19102	3.5	183	European
Waffles & Wedges     	1511 Pine St	19102	4.0	126	American
Su Xing House     	1508 Sansom St	19102	4.0	417	Chinese
Capriccio Cafe and Bar    	110 N 16th St	19102	3.5	121	American
Oyster House      	1516 Sansom St	19102	4.0	1407	American
The Happy Rooster     	118 S 16th St	19102	3.5	251	American
Schlesinger's       	1521 Locust St	19102	3.5	258	American
Pure Fare      	224 South Broad Street, Floor 8	19102	3.5	225	American
Real Food Eatery     	207 S 16th St	19102	4.5	279	American
Alice Pizza      	235 S 15th St	19102	4.5	243	Italian
Del Frisco's Double Eagle Steakhouse   	1428-1432 Chestnut St	19102	4.0	1129	American
Dan Dan      	126 S 16th St	19102	4.0	860	Chinese
Philly Pretzel Factory     	1532 Sansom St	19102	4.0	117	Bakery
Bliss       	220 S Broad St	19102	3.5	121	American
Estia       	1405 Locust St	19102	4.0	761	European
Kamals Middle Eastern Specialties    	51 N 12th St	19102	3.5	187	Middle Eastern
Bop       	220 S Broad St	19102	3.5	104	Korean
Fine Palate      	231 S 15th St	19102	3.5	113	American
Gabi       	339 N Broad St	19102	4.5	110	European
SPIN - Philadelphia     	211 S 15th St	19102	4.0	113	American
Le Pain Quotidien     	1425 Walnut St	19102	3.5	312	European
Shiroi Hana      	222 S 15th St	19102	4.0	217	Japanese
Monk's Cafe      	264 S 16th St	19102	4.0	2184	American
Steak 48      	260 S Broad St	19102	4.0	137	American
Snap Custom Pizza - Center City  	1504 Sansom St	19102	4.0	271	European
Max Brenner - Philadelphia    	1500 Walnut St	19102	3.5	1358	American
Ocean Prime      	124 S 15th St	19102	4.0	513	American
Bonté Wafflerie & Café    	130 S 17th St	19102	3.5	115	American
1518 Bar & Grill    	1518 Sansom St	19102	4.0	221	American
Le Bec Fin     	1523 Walnut St	19102	4.0	227	European
Giuseppe & Sons     	1523 Sansom St	19102	4.0	248	Italian
10 Arts Bistro     	The Ritz-Carlton Philadelphia, Ten Avenue of the Arts	19102	3.5	170	American
The Love      	130 S 18th St	19103	4.0	618	American
Bistro St. Tropez     	2400 Market St, Ste 427	19103	3.5	163	European
24	2401 Walnut St	19103	3.5	111	Italian
Square 1682      	121 S 17th St	19103	3.5	385	American
La Creperie Cafe     	1722 Sansom St	19103	3.5	146	American
The Black Sheep Pub & Restaurant  	247 S 17th St	19103	3.5	339	American
Trattoria Carina      	2201 Spruce St	19103	4.5	213	Italian
Swiss Haus Cafe & Pastry Bar  	1740 Sansom St	19103	4.0	261	Jewish
HipCityVeg       	127 S 18th St	19103	4.0	1082	American
Spice Finch      	220 S 17th St	19103	4.5	325	American
Aldine       	1901 Chestnut St	19103	4.0	156	American
Village Whiskey      	118 S 20th St	19103	4.0	1553	American
Mac Mart      	104 South 18th St	19103	4.0	321	American
Rittenhouse Grill      	1701 Locust St	19103	3.5	290	American
Crazy Sushi      	1837 Chestnut St	19103	4.0	550	Japanese
Pho Street      	2104 Market St	19103	4.0	150	SE Asian
Porcini       	2048 Sansom St	19103	3.5	317	Italian
El Merkury      	2104 Chestnut St	19103	4.5	162	American
Devon Seafood Grill     	225 S 18th St	19103	3.5	1159	American
Rosy's Taco Bar     	2220 Walnut St	19103	4.0	282	Mexican
Parc       	227 S 18th St	19103	4.0	2761	American
Pizzeria Vetri      	1615 Chancellor St	19103	4.0	313	Italian
Just Salad      	1729 Chestnut St	19103	3.5	133	American
V Street      	126 S 19th St	19103	4.5	739	American
Good Stuff Eatery     	108 S 18th St	19103	3.5	118	American
Townsend       	2121 Walnut St	19103	4.5	246	European
