Location	chr	gene_name
124792319	3	RF00100
92700819	1	RNU4-59P
100951856	14	SNORD114-2
45200954	22	MIR1249
161699506	1	RF00019
51973410	1	RNA5SP48
63786002	X	MIR1468
3360036	20	RNU6-1019P
47166967	20	MIR3616
50221888	15	RF00019
69406441	15	RF00019
47557413	17	RF00019
164787290	4	RNU6-668P
4850297	9	MIR101-2
71182612	6	RNU6-411P
184378975	2	MIR548AE1
125270604	8	RN7SL329P
175029769	2	RNU6-1290P
168606390	2	RNU6-766P
28442575	10	RN7SKP39
48088678	17	RNU6-1201P
55167171	19	RF01210
108891437	5	RF00019
143837756	8	MIR6845
137838419	9	MIR602
168582943	2	MIR4774
69478997	5	RN7SL616P
136550878	X	MIR934
25089923	15	SNORD116-22
25101132	21	RN7SKP236
70075014	2	RN7SL470P
106600928	9	MIR8081
128081861	7	MIR593
16863196	8	RN7SL474P
82174547	4	RNU6-499P
50014598	X	MIR502
87720915	6	RF01210
131491160	2	MIR4784
4174985	Y	RNU6-303P
102471469	7	MIR4467
72673503	16	RNU7-90P
95086014	9	MIR3074
36418450	1	SNORA63C
147284641	X	MIR514A3
90796	17	RF00026
24706788	12	RN7SL38P
19705358	7	MIR3146
70396279	X	RNY4P23
113582959	2	MIR1302-3
127785833	9	MIR3960
31215489	CHR_HSCHR6_MHC_MANN_CTG1	CR847794.2
58770524	16	RN7SL143P
95065350	9	MIR6081
77080434	5	SNORA47
9053816	5	MIR4636
28863626	9	MIR876
47087506	X	RNU6-1189P
53761133	19	MIR516A2
26673254	22	RF01877
100938187	14	SNORD113-5
90023441	9	MIR4290
147827279	X	RNU6-382P
78399935	17	RF00415
100702968	8	MIR7705
20114686	22	MIR6816
35934088	18	MIR3929
55777469	5	RNA5SP183
41237440	9	RNA5SP530
55731100	7	RF00017
130496111	7	MIR335
16590237	21	MIR125B2
62298149	1	RNU6-371P
71379755	2	RNU6-105P
79649294	2	MIR4264
101029634	14	MIR494
35748520	16	RNA5SP414
3607258	X	RNU6-146P
43150895	7	MIR3943
25020166	3	RN7SL216P
105293664	4	RN7SL89P
14853438	8	MIR383
30031073	CHR_HSCHR6_MHC_MANN_CTG1	RF02218
159186835	2	MIR6888
88816779	1	RNU6-125P
195146728	3	RN7SL36P
126484631	6	MIR588
49996415	13	MIR3613
49889634	13	RNY4P30
797989	18	RNU1-109P
74191198	7	MIR590
156872078	7	RNU4-31P
31956839	6	MIR1236
150211632	1	RN7SL480P
8144994	17	MIR6883
53056944	12	MIR6757
53690881	19	MIR520A
54813162	CHR_HSCHR19LRC_LRC_T_CTG3_1	RF00026
96695856	1	RN7SKP270
154596012	5	MIR3141
2106669	16	MIR6511B1
51055353	5	RNU6-480P
93441277	8	RNA5SP274
5495819	7	MIR589
28477481	11	MIR8068
51107222	1	RF00019
178484408	1	RF00017
20832795	15	MIR3118-2
31936102	5	MIR4279
23124981	6	RNU6-1060P
57304479	10	MIR3924
20993474	6	RNU6-150P
12920320	19	MIR5695
120110498	3	RN7SL762P
63942631	20	MIR647
111512938	11	MIR34B
227941590	1	MIR5008
13047583	21	RNU6-614P
68424451	17	MIR635
127240968	3	RNU6-1047P
23491792	7	RF00019
198859044	1	MIR181A1
21464700	4	MIR7978
43300041	17	RF00004
3917502	20	MIR103B2
47581023	19	RN7SL322P
88611825	15	MIR7-2
1167104	1	MIR200B
118016385	2	RN7SL111P
41167557	21	MIR3197
41113942	4	RNU6-1195P
110903337	9	RNU6-432P
87998229	9	RNU6-86P
28490752	15	MIR4509-3
239943015	2	MIR4786
27596412	6	RNU6-471P
54282109	19	MIR4752
17369	1	MIR6859-1
23879493	CHR_HSCHR22_1_CTG7	RN7SL268P
6383906	X	MIR4770
9907916	21	RF00156
12787128	19	MIR5684
126553302	5	RNU6-290P
7474394	21	RF00019
41578903	9	RN7SL565P
18282077	19	MIR3188
29747504	CHR_HSCHR6_MHC_MCF_CTG1	RF00019
129869605	9	MIR6855
34942969	10	RNU6-193P
36438661	10	RF00561
54069947	CHR_HSCHR19LRC_PGF2_CTG3_1	TARM1
101446825	12	RF00019
31756042	10	RF00019
14075950	21	RF01518
29582205	CHR_HSCHR6_MHC_DBB_CTG1	SNORD32B
81385018	16	MIR4720
58559796	16	SNORA50A
111513439	11	MIR34C
89312225	9	MIR3153
543277	16	MIR3176
127321355	12	RNU1-104P
9615267	2	RF00019
11783135	11	MIR8070
177457111	4	RNA5SP172
63870930	15	MIR422A
85825635	15	MIR548AP
9903388	8	MIR124-1
29545004	10	MIR604
30684029	13	RF00017
62304658	15	MIR8067
3063472	4	RF02134
69273157	12	MIR1279
153700659	CHR_HSCHR1_1_CTG31	RF00017
10090410	Y	RNA5SP518
6936912	18	RNU6-916P
52148923	6	MIR133B
75202081	14	RNU4ATAC14P
42997563	10	MIR5100
12915829	12	MIR614
146001053	X	MIR891B
7147860	X	MIR4767
